district,Sishu No,Sishuamt,Kishoreno,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,424,130.25,220,502.85,102,742.27,746,1375.37
Chandel,1,0.5,106,224.21,3,24,110,248.71
Churachandpur,53,14.75,162,496.31,116,937.83,331,1448.89
Imphal East,942,314.31,746,1711.87,167,995.89,1855,3022.07
Imphal West,1586,502.42,1197,2708.9,330,2376.24,3113,5587.56
Jiribam,30,10.29,27,38.06,3,24.2,60,72.55
Kakching,96,26.65,250,442.69,39,220.17,385,689.51
Kamjong,28,12.65,1,3.42,1,9.25,30,25.32
Kangpokpi,15,5.86,212,554.08,40,319.58,267,879.52
Noney,8,3.9,48,96.02,11,99.41,67,199.33
Pherzawl,0,0,0,0,0,0,0,0
Senapati,19,5.75,311,1072.11,145,1136.83,475,2214.69
Tamenglong,3,1.4,88,224.97,11,86.52,102,312.89
Tengnoupal,12,3.1,123,260.78,2,20,137,283.88
Thoubal,694,253.61,523,1027.43,59,435.3,1276,1716.34
Ukhrul,84,40.83,82,216.33,17,114.5,183,371.66
