district,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bishnupur,1,14.6,0,0,0,0,1,14.6,4,76.49,1,15.39,20.12
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,3,0,0,0,11,203.01,14,203.01,30,661.87,1,28.18,4.26
Imphal East,13,191.54,7,10.71,4,17.97,24,220.22,50,669.63,4,549.68,82.09
Imphal West,25,569.42,8,108.45,7,96.83,40,774.7,92,1921.39,15,128.78,6.7
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,5,58.36,0,0,0,0,5,58.36,13,153.16,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,6,119.24,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,3,55,0,0,5,118.4,8,173.4,30,518.82,0,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,16,97.8,0,0,0
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
