District,No. of KCC issuedduringquarter (Including renewal),KCC Disbursed Amountduringquarter,Total O/S KCC No.,Total O/S KCC Amt,Number ofrupaycard Issued,KCC Cardactivated,No. of KCC foranimalhusbandaryissuedduringquarter (Including renewal),KCC foranimalhusbandary Amountdisbursed duringquarter,AH Totalno. of KCC,AH Outstandingamount,AH Number ofrupaycard Issued,AH Cardactivated,No. of KCC for Fishriesissuedduringquarter (including renewal),KCC for Fishery Amountdisbursed duringquarter,Fishery Totalno. of KCC,Fishery Outstandingamount,Fishery Number ofrupaycard Issued,Fishery Cardactivated
Bishnupur,2257,1554.69,4908,2806.01,2632,2614,26,30.64,322,280.95,179,230,34,15.28,199,199.84,69,69
Chandel,0,0,99,45.72,3,2,21,10.4,100,75.89,7,7,0,0,3,2.73,0,0
Churachandpur,233,293.35,2194,1420.28,1403,991,20,18.14,280,305.42,80,80,4,5.55,42,73.92,3,3
Imphal East,930,849.53,3125,2662.22,1595,1560,42,251.45,753,374.71,321,321,8,13.01,15,23.89,6,6
Imphal West,747,1348.11,12920,10905.71,3010,2574,400,321.87,785,694.43,536,535,32,28.55,66,73.05,38,38
Jiribam,3,0,67,30.53,20,14,1,0.31,12,10.85,8,8,3,0,6,4.41,0,0
Kakching,288,290.79,1052,1082.07,787,747,80,62.92,382,285.57,236,235,95,59.57,224,330.44,107,107
Kamjong,17,16.66,32,31.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,9,52.78,927,552.95,677,528,10,13.66,75,53,40,40,0,0,7,9.52,7,7
Noney,19,14.6,250,218.14,111,111,1,0.81,4,2.26,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,284,276.76,1606,833.24,803,641,36,9.16,72,29.22,6,6,3,0.17,3,0.98,0,0
Tamenglong,21,2.62,128,94.54,6,6,23,14.36,55,59.44,0,0,3,0,10,11.66,0,0
Tengnoupal,2,1.44,146,64.34,63,55,12,8.65,86,61.69,5,3,1,0,3,7.13,0,0
Thoubal,632,513.64,2943,1747.7,1672,1635,124,105.77,434,343.69,244,226,63,44.79,93,85.13,25,25
Ukhrul,100,43.13,490,341.54,129,128,17,6.85,49,41.94,12,12,1,0.3,2,1.33,0,0
