district,Export Credit No,Amt,Education (PS) No,Housing (PS) No,Social Infrastructure No,Renewable Energy No,Informal Credit No,Total Other PS Disb No,Loanstoweaker No
Bishnupur,0,7097.76,6,86,0,0,253,345,5580
Chandel,0,243.42,4,2,0,0,45,51,206
Churachandpur,0,7395.07,29,10,0,0,27,66,1503
Imphal East,0,8329.44,39,571,0,0,623,1233,5277
Imphal West,0,23362.35,225,951,0,2,458,1636,8410
Jiribam,0,147.07,0,0,0,0,26,26,45
Kakching,0,4070.72,12,8,0,0,41,61,1674
Kamjong,0,12.54,0,0,0,0,0,0,10
Kangpokpi,0,921.41,7,3,0,0,0,10,405
Noney,0,257.67,1,0,0,0,0,1,104
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,0,3652.41,9,7,0,0,204,220,1443
Tamenglong,0,4472.78,3,1,0,0,0,4,535
Tengnoupal,0,498.19,0,0,0,0,2,2,218
Thoubal,0,5759.06,27,46,0,0,676,749,4266
Ukhrul,0,3915.01,4,2,0,0,37,43,734
