District,Bank Name,Christians No.,Amt,Muslims No.,Buddhists No.,Sikhs No.,Zoroastrians No.,Jains No.,Tot Minority Disb No.
Bishnupur,,151,1000.21,133,2,6,0,0,292
Chandel,,895,5835.69,2,0,0,0,0,897
Churachandpur,,3198,21437.58,237,0,2,0,0,3437
Imphal East,,606,5573.19,564,8,9,0,0,1187
Imphal West,,1529,19636.86,1140,16,27,0,7,2719
Jiribam,,28,323.51,21,0,1,0,0,50
Kakching,,189,1141.45,56,0,15,0,0,260
Kamjong,,33,198.5,2,0,0,0,0,35
Kangpokpi,,1082,7028.35,19,2,1,0,1,1105
Noney,,102,487.42,0,0,0,0,0,102
Pherzawl,,0,0,0,0,0,0,0,0
Senapati,,2269,12014.84,115,2,6,0,0,2392
Tamenglong,,531,4455.91,5,0,0,0,0,536
Tengnoupal,,302,2230.02,55,0,1,0,0,358
Thoubal,,140,3776.61,867,0,1,0,0,1008
Ukhrul,,1080,7834.21,6,0,1,0,0,1087
