district,Bank Name,Total Agri (PS) O/S,Tot Agri (PS) NPA,Agri NPA Amt %,Total MSME (PS) O/S,Tot MSME (PS) NPA,MSME NPA Amt %,Total Other PS O/S,Tot Other (PS) NPA,OTHER (PS) NPA Amt %,Total PS O/S,Total PSA NPA,TOTAL PSA NPA Amt %
Bishnupur,,12058,1293,8.65,4756,1822,19.29,3661,2739,16.6,20475,5854,13.35
Chandel,,260,130,50.07,634,140,13.22,125,5,0.28,1019,275,11.42
Churachandpur,,3887,1070,23.76,2723,792,9.96,627,114,1.99,7237,1976,10.91
Imphal East,,10454,1967,12.29,10268,2843,10.56,9623,6772,17.9,30345,11582,12.29
Imphal West,,25672,11188,20.12,21330,6735,11.47,9390,4480,5.39,56392,22403,12.95
Jiribam,,133,28,10.73,212,79,12.91,392,168,24.5,737,275,15.59
Kakching,,3661,1010,16.21,4180,2104,16.8,1861,1509,20.04,9702,4623,17.11
Kamjong,,75,5,15.87,95,4,4.09,0,0,,170,9,8.62
Kangpokpi,,1352,296,11.42,1195,379,23.6,176,36,3.42,2723,711,15.79
Noney,,611,143,10.11,389,81,9.94,2,0,0,1002,224,9.98
Pherzawl,,0,0,,0,0,,0,0,,0,0,
Senapati,,2537,629,21.16,2202,433,9.56,623,171,1.82,5362,1233,9.89
Tamenglong,,301,141,32.8,530,167,16.62,16,0,0,847,308,18.41
Tengnoupal,,751,116,13.37,1275,300,25.47,58,0,0,2084,416,16.7
Thoubal,,9410,828,5.44,6817,2601,15.53,6771,4288,15.58,22998,7717,11.44
Ukhrul,,917,298,32.64,1152,361,23.98,259,45,10.53,2328,704,25.34
