district,Sishu O/S No,Amt,Sishu NPA No,Kishore O/S No,Kishore NPA No,Tarun O/S No,Tarun NPA No,Total MUDRA O/S No,Total MUDRA NPA No,MUDRA NPA Amt.%
Bishnupur,2501,883.54,1286,2129,496,264,13,4894,1795,16.61
Chandel,255,198.46,106,442,154,10,4,707,264,26.31
Churachandpur,1030,889.9,399,1304,412,280,31,2614,842,20.83
Imphal East,9289,2376.7,5945,4267,620,777,136,14333,6701,19.54
Imphal West,10696,4604.8,5557,6730,1656,1647,371,19073,7584,22.3
Jiribam,53,19.93,14,55,8,20,1,128,23,13.51
Kakching,1044,571.15,474,1499,353,147,15,2690,842,18.64
Kamjong,81,56.83,53,52,33,1,0,134,86,51.24
Kangpokpi,335,604.18,103,690,215,129,25,1154,343,24.05
Noney,120,120.76,67,592,104,16,0,728,171,13.16
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,382,946.05,228,1723,595,335,21,2440,844,17.28
Tamenglong,93,120.86,44,410,77,41,2,544,123,13.08
Tengnoupal,359,434.96,104,1210,287,41,22,1610,413,25.15
Thoubal,6646,1306.9,3680,2650,423,368,34,9664,4137,16.96
Ukhrul,167,386.87,62,803,259,76,19,1046,340,24.31
