District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advance,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Bishnupur,2470.05,44610.85,0,47080.9,5165.31,59515.5,3515.09,68195.9,209.12,133.41,,144.85
Chandel,13999.54,0,0,13999.54,19974.11,33.05,210.22,20217.38,142.68,,,144.41
Churachandpur,111101.1,6784.2,0,117885.3,91785.84,5700.74,1161.07,98647.65,82.61,84.03,,83.68
Imphal East,120038.3,12575.75,55749.51,188363.6,98798.82,6673.12,53767.09,159239,82.31,53.06,96.44,84.54
Imphal West,41862.05,47231.89,926358.7,1015453,36783.05,56208.57,568537.5,661529.1,87.87,119.01,61.37,65.15
Jiribam,12939.71,270.49,0,13210.2,4845.55,224.58,0,5070.13,37.45,83.03,,38.38
Kakching,1082.06,27087.59,0,28169.65,1127.43,39105.38,0,40232.81,104.19,144.37,,142.82
Kamjong,1401,0,0,1401,1771.14,0,0,1771.14,126.42,,,126.42
Kangpokpi,46238.05,0,0,46238.05,32937.37,0,0,32937.37,71.23,,,71.23
Noney,4667,0,0,4667,3727.84,0,0,3727.84,79.88,,,79.88
Pherzawl,1.18,0,0,1.18,0,0,0,0,0,,,0
Senapati,53998.36,951.38,0,54949.74,49501.59,872.93,334.77,50709.29,91.67,91.75,,92.28
Tamenglong,879.06,14104.5,0,14983.56,342.72,9619.09,315.35,10277.16,38.99,68.2,,68.59
Tengnoupal,6118.68,7042.8,0,13161.48,13106.11,4762.02,0,17868.13,214.2,67.62,,135.76
Thoubal,9414.69,45864.34,0,55279.03,14279.66,72314.49,4916.5,91510.65,151.67,157.67,,165.54
Ukhrul,1952.65,27776.39,0,29729.04,4268.64,19274.05,196,23738.69,218.61,69.39,,79.85
