District,Sanctioned No.,Of Which Girl Student Sanctioned No.,Sanctioned Amt,Of Which Girl Student Sanctioned Amt,Disb. Number,Of Which Girl Student Disb No.,Disb. Amt,Of Which Girl Student Disb Amt,O/S No.,Of Which Girl Student O/S No.,O/S amt,Of Which Girl Student O/S Amt
Bishnupur,7,4,13.95,9.69,7,4,10.04,5.87,28,11,80.06,18.62
Chandel,2,1,3.61,2.32,4,2,6.01,2.85,9,6,23.66,13.72
Churachandpur,12,10,46.62,43.86,30,26,64.44,60.39,77,57,209.41,159.81
Imphal East,31,20,170.2,91.57,47,27,146.75,96.1,148,77,741.09,429.47
Imphal West,160,81,1478.93,829.88,273,145,1260.12,750.58,729,348,4230.63,2403.39
Jiribam,0,0,0,0,0,0,0,0,1,1,0.6,0.6
Kakching,5,4,16.11,8.61,12,7,14.13,9.59,28,13,78.78,34.78
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,1,1,1.27,1.27,9,6,17.94,12.15,20,13,143.34,93.72
Noney,1,1,0.61,0.61,1,1,0.6,0.6,2,2,5.86,5.86
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,4,1,13.45,0.94,9,3,20.78,4.3,65,31,235.45,106.96
Tamenglong,0,0,0,0,3,3,1.94,1.94,9,7,22.19,16.07
Tengnoupal,0,0,0,0,0,0,0,0,6,1,23.82,14.71
Thoubal,44,16,130.29,34.25,27,12,49.39,19.08,73,27,263.28,101
Ukhrul,3,3,5.22,5.22,4,4,8.82,8.82,9,5,20.71,15.13
