district,CHRISTIANS No,Amt,MUSLIMS No,BUDDHISTS No,SIKHS No,ZORASTRIAN No,JAINS No,Tot Minority No
Bishnupur,880,4717.14,688,4,40,0,1,1613
Chandel,5063,17281.76,71,3,0,0,0,5137
Churachandpur,16818,73668.49,1230,24,15,0,0,18087
Imphal East,3070,25638.31,2927,17,51,0,5,6070
Imphal West,18050,77948.63,6085,39,118,1,26,24319
Jiribam,284,982.17,220,1,2,0,0,507
Kakching,1178,4098.03,283,1,69,0,0,1531
Kamjong,255,711.7,11,0,0,0,0,266
Kangpokpi,6455,23417.21,270,8,15,0,1,6749
Noney,1181,2268.61,8,0,10,0,0,1199
Pherzawl,0,0,0,0,0,0,0,0
Senapati,10610,39086.6,375,9,17,0,0,11011
Tamenglong,2087,9603.71,15,2,1,0,0,2105
Tengnoupal,3287,9922.79,241,7,6,0,0,3541
Thoubal,673,12522.83,4565,1,8,2,2,5251
Ukhrul,5021,19024.36,35,2,4,1,0,5063
