District,Enrolment Under PMJJBY,eligible cases under PMJJBY,Renewals Under PMJJBY,Enrolment Under PMSBY,eligible cases under PMSBY,Renewals Under PMSBY,Enrolment Under APY,Total Enrolment No.
Bishnupur,26842,131756,7415,64731,203074,21880,8537,100110
Chandel,4346,21221,2088,8502,33388,4984,280,13128
Churachandpur,30425,140629,9042,54796,211149,24908,4006,89227
Imphal East,38742,167506,13017,104508,247424,43626,12601,155851
Imphal West,89670,414293,24910,226311,621056,76835,28871,344852
Jiribam,6643,31204,1317,12285,40938,1858,3010,21938
Kakching,19607,87514,6013,45149,134917,18494,4510,69266
Kamjong,541,2505,322,1083,4291,700,89,1713
Kangpokpi,14082,35751,7055,17963,55393,11665,1426,33471
Noney,2640,11691,1441,5960,15296,3721,837,9437
Pherzawl,0,0,0,0,0,0,0,0
Senapati,19091,72684,5986,38316,105420,15959,2330,59737
Tamenglong,4284,41773,822,18031,52983,3081,3416,25731
Tengnoupal,8915,25715,3115,14334,37478,7220,1487,24736
Thoubal,25972,134451,10562,66671,214440,29949,8394,101037
Ukhrul,17811,85505,4273,27036,124707,10096,4121,48968
