district,ATM ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,Branch Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,B/C B/C Total,B/C Fix,B/C Other
Bishnupur,3,11,0,14,4,18,0,22,390,352,38
Chandel,4,0,0,4,4,0,0,4,29,27,2
Churachandpur,29,3,0,32,19,4,0,23,349,309,40
Imphal East,19,1,10,30,26,3,8,37,519,474,42
Imphal West,3,3,214,220,14,12,52,78,3544,964,2576
Jiribam,1,1,0,2,4,1,0,5,22,15,7
Kakching,2,16,0,18,3,8,0,11,86,49,35
Kamjong,1,0,0,1,1,1,0,2,4,4,0
Kangpokpi,11,0,0,11,13,1,0,14,25,15,8
Noney,1,0,0,1,6,0,0,6,17,16,1
Pherzawl,0,0,0,0,0,0,0,0,5,5,0
Senapati,16,1,0,17,14,3,0,17,102,86,16
Tamenglong,0,1,0,1,3,2,0,5,35,22,13
Tengnoupal,2,4,0,6,3,4,0,7,21,10,11
Thoubal,2,29,0,31,8,13,0,21,687,645,40
Ukhrul,4,2,0,6,5,3,0,8,152,134,18
