District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bishnupur,38,129.2,86,87.23,3,7.02,13,7.41,8.49
Chandel,0,0,2,0.07,0,0,2,0.07,100
Churachandpur,128,494.09,239,225.2,3,3.14,94,22.48,9.98
Imphal East,395,566.76,888,1093.56,10,6.6,54,57.41,5.25
Imphal West,270,430.19,548,510.83,11,7.34,20,16.96,3.32
Jiribam,25,37.5,11,0.22,0,0,0,0,0
Kakching,27,61.5,97,114.28,0,0,2,0.46,0.4
Kamjong,5,7.41,5,7.41,0,0,0,0,0
Kangpokpi,9,14.53,17,48.61,0,0,0,0,0
Noney,20,30,21,18.34,0,0,10,5.67,30.92
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,3,8.5,35,65.21,3,4.96,1,0.48,0.74
Tamenglong,0,0,4,0.71,0,0,4,0.71,100
Tengnoupal,45,123.59,166,217.3,2,1.69,1,1.25,0.58
Thoubal,361,557.93,613,820.18,21,30.9,78,56.25,6.86
Ukhrul,1,6,4,3.23,0,0,1,0.11,3.41
