district,Total Br(s),PMJJBY,PMSBY,APY,Total Enrol- ment
Aizawl,120,40837,74126,5832,120795
Champhai,17,4069,7536,698,12303
Hnahthial,5,1898,3573,106,5577
Khawzawl,9,2318,3335,37,5690
Kolasib,21,4099,9119,878,14096
Lawngtlai,12,3610,8006,787,12403
Lunglei,23,7174,17925,1303,26402
Mamit,13,3911,7551,109,11571
Saiha,7,2501,3903,269,6673
Saitual,10,1570,2614,49,4233
Serchhip,16,2991,4990,175,8156
