District,Total Branch,Number of Operative CASA,Number of Aadhaar Seeded CASA,Number of Authenticated CASA
Aizawl,120,521420,378937,151695
Champhai,17,82514,57780,14555
Hnahthial,5,24874,18123,4000
Khawzawl,9,34000,25784,3572
Kolasib,21,94539,66460,17987
Lawngtlai,12,122858,82372,22862
Lunglei,23,140378,91816,26618
Mamit,13,79167,58577,9916
Saiha,7,68240,43543,11289
Saitual,10,47100,35637,4646
Serchhip,16,68943,52430,5509
