District,Total Branch,Export No.,Amt,Education No.,Housing No.,Social Infra. No.,Renewable No.,Others No.,Total Other PS O/S No.
Aizawl,120,0,58799.58,177,5117,176,1,3577,9048
Champhai,17,0,4846.22,4,537,32,0,42,615
Hnahthial,5,0,1956.57,2,169,9,0,1,181
Khawzawl,9,0,2413.04,3,241,17,0,0,261
Kolasib,21,0,7560,20,718,19,0,1308,2065
Lawngtlai,12,0,16185.07,12,1868,23,0,3,1906
Lunglei,23,0,17319.71,17,1785,48,0,25,1875
Mamit,13,0,3826.37,0,428,5,0,1,434
Saiha,7,0,9928.14,4,1244,20,0,11,1279
Saitual,10,0,1566.24,5,168,8,0,3,184
Serchhip,16,0,7054.86,10,770,11,0,6,797
