district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,20,1,139,172,5,1,139,172,68,148,172
Champhai,4,10,0,53,0,10,0,53,39,3,53
Hnahthial,4,1,0,12,1,1,0,12,8,4,12
Khawzawl,5,2,0,25,2,2,0,25,20,0,25
Kolasib,6,14,0,81,0,14,0,81,33,6,81
Lawngtlai,5,5,0,105,1,5,0,105,73,0,105
Lunglei,7,14,3,105,1,14,3,105,48,7,105
Mamit,12,1,0,71,4,1,0,71,50,0,71
Saiha,1,6,0,49,0,6,0,49,33,1,49
Saitual,6,2,0,17,0,2,0,17,17,0,17
Serchhip,8,6,0,66,1,6,0,66,34,0,66
