District,Total Br,Sishu,Kishore,Tarun,Total MUDRA Disb
Aizawl,120,1317,897,538,2752
Champhai,17,388,142,35,565
Hnahthial,5,1,12,7,20
Khawzawl,9,12,16,11,39
Kolasib,21,476,339,63,878
Lawngtlai,12,8,43,22,73
Lunglei,23,264,102,53,419
Mamit,13,13,39,17,69
Saiha,7,0,19,13,32
Saitual,10,6,30,23,59
Serchhip,16,15,41,34,90
