District,Total Branch,Micro,Small,Medium,Other Msme,Msme Total O/S
Aizawl,120,14604,385,66,487,15542
Champhai,17,1588,14,3,278,1883
Hnahthial,5,371,1,0,0,372
Khawzawl,9,603,22,2,1,628
Kolasib,21,1739,22,0,275,2036
Lawngtlai,12,1147,17,0,2,1166
Lunglei,23,2847,44,0,303,3194
Mamit,13,1124,5,0,3,1132
Saiha,7,656,5,0,1,662
Saitual,10,886,2,0,0,888
Serchhip,16,1601,14,0,2,1617
