District,Individual (I),Group Enterprise (GE),SHG-Blb
Aizawl,55,1,15
Lunglei,25,1,5
Kolasib,20,0,4
Serchhip,20,1,4
Champhai,20,0,3
Mamit,15,0,3
Lawngtlai,14,0,1
Saitual,14,0,2
Saiha,14,0,1
Khawzawl,14,0,2
