district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,120,62,4.79,340,4.79,36,4.79,3,4.79,0.92
Champhai,17,38,23.76,418,23.76,64,23.76,16,23.76,1.82
Hnahthial,5,0,0,34,0,2,0,0,0,0
Khawzawl,9,13,10.52,189,10.52,5,10.52,8,10.52,2.62
Kolasib,21,20,67.54,298,67.54,35,67.54,45,67.54,9.53
Lawngtlai,12,50,18.45,204,18.45,14,18.45,21,18.45,6.81
Lunglei,23,11,0,103,0,20,0,0,0,0
Mamit,13,30,21.99,376,21.99,57,21.99,20,21.99,2.61
Saiha,7,8,37.73,321,37.73,14,37.73,20,37.73,6.27
Saitual,10,15,4.11,229,4.11,13,4.11,5,4.11,0.72
Serchhip,16,55,22.56,418,22.56,89,22.56,14,22.56,2.26
