District,Total Branch,Crop,Term Loan,Agri Infra,Ancillary,Agri Total NPA
Aizawl,120,5377,1226,0,32,6635
Champhai,17,59,437,0,5,501
Hnahthial,5,12,65,0,0,77
Khawzawl,9,48,113,0,0,161
Kolasib,21,108,319,0,31,458
Lawngtlai,12,321,562,0,5,888
Lunglei,23,70,625,0,7,702
Mamit,13,81,264,0,0,345
Saiha,7,142,266,0,0,408
Saitual,10,78,176,0,0,254
Serchhip,16,51,299,0,3,353
