District,Total Br(s),Current Year Female Account,Current Year Male Accountto SC,Current Year Male Accountto ST,Total Current Year SUI Disb
Aizawl,120,68,5,25,98
Champhai,17,1,0,0,1
Hnahthial,5,0,0,0,0
Khawzawl,9,0,0,2,2
Kolasib,21,3,0,0,3
Lawngtlai,12,0,0,0,0
Lunglei,23,1,0,0,1
Mamit,13,0,0,0,0
Saiha,7,1,0,0,1
Saitual,10,0,0,0,0
Serchhip,16,1,0,0,1
