District,Total Br,In- active CSP,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenti- cated Sb accounts,RuPaycardissuedin KCC
Aizawl,120,64,39261,8172,136616,1136
Champhai,17,6,6755,770,14859,93
Hnahthial,5,0,3486,869,4065,15
Khawzawl,9,6,5906,558,5668,74
Kolasib,21,9,10368,2647,18029,104
Lawngtlai,12,13,18937,8329,22788,107
Lunglei,23,23,22353,4982,26594,79
Mamit,13,13,12207,937,10353,18
Saiha,7,17915,8340,739,12083,380
Saitual,10,0,5953,685,5052,339
Serchhip,16,2,9225,603,7037,102
