district,Total Br(s),SANCTION No.,Amt.,DISBURSED No.,Amt.,O/S No.,Amt.,NPA No.,Amt.,%
Aizawl,120,58,515.52,60,515.52,977,515.52,205,515.52,14.36
Champhai,17,12,24.51,16,24.51,112,24.51,12,24.51,7.23
Hnahthial,5,1,2.33,6,2.33,30,2.33,1,2.33,1.79
Khawzawl,9,12,14.38,11,14.38,57,14.38,5,14.38,5.56
Kolasib,21,8,220.79,9,220.79,209,220.79,60,220.79,25.31
Lawngtlai,12,1,39.31,4,39.31,142,39.31,21,39.31,15.19
Lunglei,23,40,65.25,48,65.25,389,65.25,31,65.25,6.42
Mamit,13,14,44.74,7,44.74,173,44.74,22,44.74,9.33
Saiha,7,0,61.77,2,61.77,69,61.77,29,61.77,32.97
Saitual,10,8,4.96,10,4.96,96,4.96,5,4.96,1.21
Serchhip,16,11,32.99,10,32.99,225,32.99,17,32.99,4.97
