District,Total Br,Agri,Edn,Housing,Personal,Other NPS,Total NPS
Aizawl,120,2,0,30,253,1571,1856
Champhai,17,2,0,4,8,53,67
Hnahthial,5,0,0,0,1,6,7
Khawzawl,9,0,0,1,8,14,23
Kolasib,21,0,0,1,17,135,153
Lawngtlai,12,0,0,3,41,77,121
Lunglei,23,30,0,2,20,84,136
Mamit,13,0,0,1,17,13,31
Saiha,7,2,0,2,25,48,77
Saitual,10,0,0,0,4,9,13
Serchhip,16,0,0,2,13,26,41
