District,No. of camps conducted during the June'25 Quarter of FY(2025-26),No. of camps conducted during the Sept'25 Quarter of FY(2025-26),No. of camps conducted during the Dec'25 Quarter of FY(2025-26),No. of camps conducted during the Mar26 Quarter of FY(2025-26),Total No. of Camps during the FY(2025-26),No of rural branches in district
Bajali,0,0,,,0,19
Baksa,20,36,,,56,33
Barpeta,0,65,,,65,47
Biswanath,32,0,,,32,36
Bongaigaon,0,99,,,99,28
Cachar,0,0,,,0,99
Charaideo,84,48,,,132,25
Chirang,60,0,,,60,22
Darrang,24,0,,,24,37
Dhemaji,0,20,,,20,25
Dhubri,18,92,,,110,42
Dibrugarh,94,14,,,108,92
Dima Hasao,12,0,,,12,12
Goalpara,0,0,,,0,44
Golaghat,202,117,,,319,75
Hailakandi,151,152,,,303,20
Hojai,9,134,,,143,23
Jorhat,250,0,,,250,55
Kamrup Metro,22,22,,,44,138
Karbi Anglong,10,17,,,27,37
Kokrajhar,82,96,,,178,35
Lakhimpur,30,70,,,100,51
Majuli,14,4,,,18,16
Morigaon,16,16,,,32,39
Nagaon,92,120,,,212,93
Nalbari,20,94,,,114,58
Sivasagar,420,0,,,420,60
Sonitpur,42,54,,,96,59
South Salmara,18,24,,,42,10
Tamulpur,0,9,,,9,21
Tinsukia,31,23,,,54,60
Udalguri,84,112,,,196,35
West Karbi Anglong,2,8,,,10,21
