district,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Bajali,34,"1,87,116","1,28,531",69
Baksa,33,"97,332","84,778",87
Barpeta,96,"4,66,441","4,08,294",88
Biswanath,63,"2,50,907","1,81,957",73
Bongaigaon,68,"4,40,687","3,31,244",75
Cachar,175,"13,09,167","6,30,310",48
Charaideo,36,"1,57,280","92,339",59
Chirang,36,"1,85,788","1,10,604",60
Darrang,70,"3,23,622","2,73,309",84
Dhemaji,52,"2,17,526","2,22,345",102
Dhubri,91,"4,34,343","2,86,054",66
Dibrugarh,190,"14,06,319","9,02,356",64
Dima Hasao,34,"1,53,346","72,937",48
Goalpara,73,"3,25,165","2,24,408",69
Golaghat,128,"5,09,098","4,74,038",93
Hailakandi,47,"2,36,606","1,06,352",45
Hojai,67,"3,96,391","2,10,386",53
Jorhat,143,"9,53,384","6,91,800",73
Kamrup,185,"8,95,004","6,69,203",75
Kamrup Metro,477,"92,48,256","54,33,040",59
Karbi Anglong,64,"2,33,667","2,18,868",94
Kokrajhar,61,"4,23,555","2,60,422",61
Lakhimpur,92,"4,06,950","4,19,092",103
Majuli,17,"52,181","50,478",97
Morigaon,70,"2,45,941","1,86,450",76
Nagaon,157,"7,82,771","6,82,420",87
Nalbari,86,"4,44,214","3,19,519",72
Sivasagar,108,"6,15,970","4,35,922",71
Sonitpur,135,"7,80,881","5,88,881",75
South Salmara,17,"38,643","27,258",71
Sribhumi,97,"5,56,450","2,18,171",39
Tamulpur,21,"71,498","54,793",77
Tinsukia,151,"9,68,531","6,11,213",63
Udalguri,56,"2,32,267","1,83,294",79
West Karbi Anglong,21,"38,903","43,305",111
