District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,Other MSME No.,Other MSME Amt,MSME Total O/S No.,MSME Total O/S Amt
Bajali,34,"4,147","14,769.05",70,"4,260.82",15,172.40,114,386.03,"4,346","19,588.30"
Baksa,33,"4,812","11,390.22",92,"2,873.64",3,206.46,-,-,"4,907","14,470.32"
Barpeta,95,"15,888","62,511.50",422,"21,086.92",31,"3,721.05",31,314.20,"16,372","87,633.67"
Biswanath,63,"9,307","28,917.41",78,"4,260.21",8,293.77,98,130.77,"9,491","33,602.16"
Bongaigaon,68,"13,132","48,310.08",328,"21,858.76",34,"3,561.70",162,"1,087.70","13,656","74,818.24"
Cachar,172,"30,049","1,05,731.27",947,"46,244.53",110,"17,150.17",21,21.08,"31,127","1,69,147.05"
Charaideo,36,"5,598","17,091.69",84,"1,539.44",3,27.64,9,45.06,"5,694","18,703.83"
Chirang,36,"6,343","16,388.62",52,"3,412.31",3,"1,182.70",4,-,"6,402","20,983.63"
Darrang,70,"12,120","42,279.78",284,"14,923.17",7,35.65,36,40.34,"12,447","57,278.94"
Dhemaji,51,"10,776","31,269.73",171,"6,233.11",9,222.85,307,419.44,"11,263","38,145.13"
Dhubri,90,"14,936","42,787.08",267,"13,751.46",21,"2,286.21",41,29.02,"15,265","58,853.77"
Dibrugarh,188,"25,679","1,39,229.82","1,178","64,724.92",212,"14,570.52","1,020","1,350.45","28,089","2,19,875.71"
Dima Hasao,33,"4,466","8,474.05",27,839.67,7,69.70,-,-,"4,500","9,383.42"
Goalpara,73,"12,147","37,186.50",243,"9,288.18",11,133.06,25,27.00,"12,426","46,634.74"
Golaghat,127,"17,622","55,304.73",407,"14,365.70",16,"1,616.49",197,442.23,"18,242","71,729.15"
Hailakandi,47,"7,442","17,229.64",99,"3,485.96",5,731.47,18,29.29,"7,564","21,476.36"
Hojai,66,"11,038","43,827.76",347,"10,049.27",12,"1,120.53",19,74.90,"11,416","55,072.46"
Jorhat,143,"19,122","1,02,098.11",717,"50,447.98",69,15421.65,340,936.72,"20,248","1,68,904.46"
Kamrup Metro,183,"23,375","1,00,534.75","1,037","39,530.85",92,"8,723.59",128,"2,430.88","24,632","1,51,220.07"
Karbi Anglong,63,"10,488","24,215.24",101,"3,319.72",3,4.13,-,-,"10,592","27,539.09"
Kokrajhar,60,"10,165","29,891.32",138,"7,234.38",4,"1,314.78",432,999.93,"10,739","39,440.41"
Lakhimpur,91,"19,675","55,098.04",715,"18,053.67",58,"4,947.81",268,270.85,"20,716","78,370.37"
Majuli,16,"2,153","5,446.32",89,460.88,7,18.31,1,-,"2,250","5,925.51"
Morigaon,70,"11,926","29,866.82",480,"3,323.66",22,475.83,200,278.79,"12,628","33,945.10"
Nagaon,157,"32,560","1,16,157.77",919,"43,119.32",133,11399.55,263,"1,203.73","33,875","1,71,880.37"
Nalbari,84,"13,183","46,398.16",249,"13,179.85",23,282.52,21,70.20,"13,476","59,930.73"
Sivasagar,107,"15,993","68,888.55",446,"25,979.42",28,"7,873.69",197,177.08,"16,664","1,02,918.74"
Sonitpur,134,"21,006","96,627.50",633,"39,400.51",74,"11,182.93",834,"1,031.34","22,547","1,48,242.28"
South Salmara,16,"1,985","5,338.38",29,539.49,-,-,-,-,"2,014","5,877.87"
Tamulpur,21,"3,794","7,990.08",31,631.61,2,79.04,7,52.92,"3,834","8,753.65"
Tinsukia,150,"22,901","1,34,558.23","1,024","54,215.87",74,"6,864.07",596,"1,750.95","24,595","1,97,389.12"
Udalguri,56,"10,196","24,196.14",51,"3,487.86",3,26.66,123,176.60,"10,373","27,887.26"
West Karbi Anglong,21,"1,790","2,100.58",3,38.12,6,63.4,0,0,"1,799","2,202.10"
