District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Tarun Plus O/S No.,Tarun Plus O/S Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Pct
Bajali,35,3611,757.26,1010,167.36,6806,6104.11,492,452.49,596,3366.70,29,119.82,4,34.55,11017,10262.62,1531,739.67,7 .21
Baksa,33,1730,639.28,524,182.48,5129,5225.99,714,881.46,575,3075.40,24,108.43,2,0.18,7436,8940.85,1262,1172.37,1 3.11
Barpeta,95,20556,5847.2,4949,871.95,26466,24889.79,2255,2648.32,2702,14166.55,162,892.54,9,88.86,49733,44992.40,7366,4412.81,9 .81
Biswanath,63,8730,1881.02,2145,379.89,13061,10902.74,723,576.02,813,4232.47,47,211.74,7,68.46,22611,17084.69,2915,1167.65,6 .83
Bongaigaon,68,14648,3198.16,2705,444.68,14774,13459.05,986,1088.63,1989,8688.35,84,399.31,14,148.61,31425,25494.17,3775,1932.62,7 .58
Cachar,172,50532,10046.67,9704,1614.58,66822,52511.06,4384,4920.86,4351,21146.56,304,1674.45,20,250.11,121725,83954.40,14392,8209.89,9 .78
Charaideo,36,7222,1520.13,728,197.48,6730,6746.46,529,571.32,755,3799.04,33,177.84,3,20.84,14710,12086.47,1290,946.64,7 .83
Chirang,36,6947,1489.56,1384,212.21,8523,7536.35,872,835.13,437,2322.58,33,142.95,8,47.45,15915,11395.94,2289,1190.29,1 0.44
Darrang,70,18515,4522.06,5532,1038.75,19688,18237.99,1632,2020.36,1696,9356.45,243,1229.24,15,184.54,39914,32301.04,7407,4288.35,1 3.28
Dhemaji,51,8970,2090.1,1649,341.38,10340,11198.26,1203,1363.31,1245,6542.87,102,417.50,13,158.82,20568,19990.05,2954,2122.19,1 0.62
Dhubri,90,18076,3396.76,6266,855.79,24613,21907.25,2077,1710.30,1400,7251.74,112,459.95,12,130.98,44101,32686.73,8455,3026.04,9 .26
Dibrugarh,188,24056,5996.07,5020,1348.3,34320,32591.29,2872,3468.01,3663,19919.82,389,1945.64,24,233.96,62063,58741.14,8281,6761.95,1 1.51
Dima Hasao,33,1783,592.66,512,142.36,2095,2998.70,265,329.53,402,2317.84,21,118.76,2,34.05,4282,5943.25,798,590.65,9 .94
Goalpara,73,14102,3470.39,2942,564.01,15590,14591.77,1467,1502.35,1763,9309.11,96,531.63,7,94.26,31462,27465.53,4505,2597.99,9 .46
