District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt
Bajali,34,0,0.00,8,30.62,42,83.94,3,20.73,6,3.82,53,30.23,112,169.34
Baksa,33,0,0.00,7,20.87,34,80.90,0,0.00,7,2.64,26,36.36,74,140.77
Barpeta,95,0,0.00,31,81.17,50,154.00,11,93.38,205,100.77,126,39.11,423,468.43
Biswanath,63,0,0.00,5,6.83,41,78.17,8,41.66,0,0.00,57,16.67,111,143.33
Bongaigaon,68,0,0.00,9,20.16,23,217.85,0,0.00,58,30.81,76,32.35,166,301.17
Cachar,172,0,0.00,37,94.24,82,474.29,6,31.40,6,3.35,827,152.04,958,755.32
Charaideo,36,0,0.00,3,3.94,10,29.49,2,21.09,12,5.46,90,15.91,117,75.89
Chirang,36,0,0.00,0,-,9,25.02,2,2.80,51,16.09,27,13.33,89,57.24
Darrang,70,0,0.00,31,118.68,63,156.85,2,19.14,16,7.25,105,31.61,217,333.53
Dhemaji,51,0,0.00,9,18.88,22,112.71,0,0.00,8,4.00,123,73.12,162,208.71
Dhubri,90,0,0.00,9,23.41,42,143.78,9,65.28,131,95.73,186,78.76,377,406.96
Dibrugarh,188,0,0.00,48,147.43,101,1093.85,15,117.62,8,2.43,256,64.83,428,1426.16
Dima Hasao,33,0,0.00,4,13.78,9,12.42,0,0.00,0,0.00,-,-,13,26.20
Goalpara,73,0,0.00,8,39.43,23,57.27,16,58.74,238,174.21,336,72.79,621,402.44
Golaghat,127,0,0.00,15,48.53,27,172.15,0,0.00,0,0.00,239,70.61,281,291.29
Hailakandi,47,0,0.00,13,27.13,39,248.71,0,0.00,12,7.13,99,26.30,163,309.27
Hojai,66,0,0.00,10,59.75,10,57.14,1,4.25,0,0.00,93,22.78,114,143.92
Jorhat,143,0,0.00,34,101.71,88,581.32,12,126.03,0,0.00,166,41.73,300,850.79
Kamrup Metro,183,0,0.00,49,189.46,158,1062.60,12,63.67,7,3.58,377,80.36,603,1399.67
Karbi Anglong,63,0,0.00,12,18.72,41,145.11,1,2.98,1,1.39,224,64.32,279,232.52
Kokrajhar,60,0,0.00,5,6.84,9,15.91,6,40.09,8,5.59,130,27.90,158,96.33
Lakhimpur,91,0,0.00,17,43.28,25,133.23,9,70.11,42,27.17,143,77.94,236,351.73
Majuli,16,0,0.00,3,5.79,3,24.89,0,0.00,9,14.71,7,1.80,22,47.19
Morigaon,70,0,0.00,11,34.28,41,154.55,0,0.00,13,7.18,241,32.29,306,228.30
Nagaon,157,0,0.00,35,75.66,107,680.66,12,45.67,7,9.67,257,59.49,418,871.15
Nalbari,84,0,0.00,36,98.07,82,244.93,4,5.84,2,0.47,178,57.68,302,406.99
Sivasagar,107,0,0.00,19,51.68,63,400.88,12,46.31,2,1.24,129,37.67,225,537.78
Sonitpur,134,0,0.00,41,113.74,107,475.58,27,152.19,2,1.84,275,112.06,452,855.41
South Salmara,16,0,0.00,0,-,11,40.61,7,25.24,6,4.34,-,-,24,70.19
Tamulpur,21,0,0.00,0,-,23,82.29,2,17.08,5,1.00,20,8.56,50,108.93
Tinsukia,150,0,0.00,38,94.78,45,357.90,4,22.74,7,1.90,362,84.15,456,561.47
Udalguri,56,0,0.00,13,42.48,26,77.04,8,31.95,0,0.00,162,34.95,209,186.42
West Karbi Anglong,21,0,0.00,2,4.93,16,33.91,0,0.00,6,2.14,3,3.07,27,44.05
