District,Total Branch,Small and Marginal Farmers No.,Small and Marginal Farmers Amt,Scheduled Castes No.,Scheduled Castes Amt,Scheduled Tribes No.,Scheduled Tribes Amt,DRI scheme No.,DRI scheme Amt,Self Help Groups No.,Self Help Groups Amt,women beneficiaries No.,women beneficiaries Amt,Minority communities No.,Minority communities Amt,PMJDY No.,PMJDY Amt,Others No.,Others Amt
Bajali,35,"19,040","20,342.24","1,688","1,568.49",794,"1,511.80",14,1.32,"2,630","7,849.91","6,741","2,101.70","4,294","5,421.72",521,0.45,658,"1,832.84"
Baksa,33,"14,530","17,212.22",639,"1,605.31","4,004","8,020.29",9,0.75,"4,268","12,406.61","3,970","1,353.42","2,329","4,472.74",266,0.35,408,"1,404.46"
Barpeta,95,"57,844","67,537.51","3,772","3,840.82","1,164","2,568.59",66,8.60,"8,357","21,299.02","23,508","7,903.43","34,173","60,835.02",488,3.20,"4,420","11,589.05"
Biswanath,63,"36,528","35,306.83","3,084","3,614.82","3,815","4,114.98",19,1.80,"7,647","19,205.74","12,328","3,913.12","3,305","7,072.86",123,0.57,"1,405","3,324.44"
Bongaigaon,68,"31,685","36,289.43","2,711","4,094.88","1,369","6,606.78",16,4.09,"4,228","11,987.55","14,842","6,538.68","9,891","19,554.89",898,1.63,"4,431","6,996.97"
Cachar,172,"78,937","60,100.22","16,161","13,082.41","2,307","4,705.57",16,1.94,"5,142","12,021.72","72,475","20,957.56","33,346","58,627.34","1,698",11.73,"2,652","5,620.54"
Charaideo,36,"19,318","18,048.25",544,669.91,445,"1,021.05",1,0.03,"3,725","11,886.75","7,868","2,217.23","1,834","2,896.77",136,0.21,448,"1,132.09"
Chirang,36,"20,390","21,075.66","1,111","1,225.24","7,296","13,214.38",6,0.32,"2,797","7,950.57","7,366","2,339.45","3,504","4,604.86",32,0.56,"1,262","3,209.50"
Darrang,70,"53,293","53,596.38","1,216","1,778.48",586,"1,427.68",23,2.19,"7,316","20,136.54","18,300","5,648.67","21,058","41,227.89",861,1.27,"2,180","4,901.35"
Dhemaji,51,"36,057","41,093.16","1,809","2,924.84","13,277","24,207.69",6,0.63,"6,443","19,167.90","12,187","4,322.15",194,589.46,153,0.87,"2,058","6,446.12"
Dhubri,90,"48,733","45,595.15","2,658","2,228.06","2,865","2,369.17",10,1.13,"5,823","11,858.84","24,853","7,514.52","25,659","41,762.68",650,1.40,"4,006","8,319.42"
Dibrugarh,188,"85,284","79,718.13","5,328","7,743.03","7,646","14,545.58",181,15.90,"5,567","20,023.71","39,055","15,049.01","4,097","14,855.24",541,2.06,"4,322","8,253.21"
Dima Hasao,33,"2,785","5,201.58",262,576.58,"3,309","9,633.17",3,0.32,"1,326","3,716.09","1,624",500.66,"1,547","4,008.88",118,0.03,121,310.14
Goalpara,73,"34,021","35,407.49","1,469","1,886.88","6,133","7,292.06",26,3.15,"5,820","17,231.65","20,060","7,106.15","17,586","30,893.75",278,1.84,"1,369","3,165.97"
Golaghat,127,"75,462","67,044.79","5,521","5,562.18","7,921","9,192.23",34,3.72,"7,447","26,687.06","35,473","11,672.43","5,258","9,307.48","1,133",13.42,"2,994","8,326.24"
Hailakandi,47,"22,573","16,914.12","2,541","2,402.75",630,893.73,6,0.70,"2,690","5,154.13","13,937","4,036.07","16,316","18,132.51",89,0.81,763,"1,597.90"
