District,Total Branch,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Bajali,35,363,915.10,2292,3585.48,269,1221.43,1535,4834.77
Baksa,33,174,815.02,1201,3320.90,1255,4118.38,7395,20063.23
Barpeta,95,772,1893.41,4964,7509.65,374,2354.92,2672,8763.94
Biswanath,63,682,1653.97,4494,6622.74,878,1938.76,9013,10916.55
Bongaigaon,68,708,2450.22,4763,11021.30,595,3696.84,4497,19252.44
Cachar,172,3819,6761.38,21044,24877.53,492,1778.46,3857,10967.57
Charaideo,36,97,195.92,692,1215.65,114,470.29,770,2351.54
Chirang,36,387,987.20,1793,3485.74,1714,6618.83,14724,31509.80
Darrang,70,247,913.09,1834,3773.38,208,873.02,1531,4657.91
Dhemaji,51,350,1522.17,3144,6847.89,3687,12570.05,24601,59043.77
Dhubri,90,557,1376.12,3736,5635.82,568,934.46,3584,5171.09
Dibrugarh,188,1649,3981.43,8585,17786.56,2956,9249.85,13127,37356.09
Dima Hasao,33,91,400.97,546,1715.37,1021,5311.76,7286,27109.12
Goalpara,73,345,1001.11,2658,4794.82,1319,3705.54,10075,18134.01
Golaghat,127,1171,2552.23,7643,11135.21,1501,4026.96,12565,21003.80
Hailakandi,47,543,1412.74,3341,5021.70,91,373.37,857,1967.12
Hojai,66,923,2103.22,5467,8518.28,443,2156.97,3037,8584.42
Jorhat,143,1347,3653.75,8743,16245.80,1800,5545.06,13265,25024.90
Kamrup Metro,183,1632,3231.56,10211,13915.22,1716,4832.05,12370,24980.61
Karbi Anglong,63,239,1643.47,1394,4540.44,3327,12660.36,21866,63610.73
Kokrajhar,60,538,1996.40,2559,6276.63,4107,16813.67,25143,79004.88
Lakhimpur,91,1278,2743.84,7916,14324.64,4868,10913.61,26226,55880.81
Majuli,16,187,552.35,1338,3094.82,706,2130.73,5141,12407.45
Morigaon,70,693,1587.45,6240,8488.29,1398,3076.36,10925,16061.26
Nagaon,157,1572,4312.47,11876,17199.35,1200,4123.25,8472,18952.82
Nalbari,84,460,2056.78,3647,7201.77,350,1433.95,2497,6820.24
Sivasagar,107,747,2547.60,4836,10348.30,673,2324.00,4143,12162.02
Sonitpur,134,946,3116.97,6642,14326.76,1178,4466.37,8140,21560.29
South Salmara,16,15,70.31,102,313.38,19,123.42,132,437.35
Tamulpur,21,111,507.27,1357,2454.75,522,2183.31,4978,12710.92
Tinsukia,150,628,1732.83,4125,8567.20,1657,6019.96,8894,27120.50
Udalguri,56,325,1088.97,2406,4386.36,3552,10141.07,28583,50773.71
West Karbi Anglong,21,111,359.40,435,1068.82,934,2534.43,5393,13632.23
