district,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Bajali,35,1,0.00,0,0.00,0,0.00,1,0.00,11,173.26,2,14.45,8.34
Baksa,33,3,0.00,1,28.00,0,0.00,4,28.00,8,115.37,1,9.63,8.35
Barpeta,95,8,70.18,1,7.87,1,17.36,10,95.41,50,759.17,7,99.86,13.15
Biswanath,63,6,48.20,1,27.00,0,0.00,7,75.20,17,185.21,3,20.01,10.80
Bongaigaon,68,2,14.86,0,0.00,0,0.00,2,14.86,50,680.97,9,85.01,12.48
Cachar,172,11,184.87,0,0.00,0,0.00,11,184.87,78,"1,200.09",11,113.53,9.46
Charaideo,36,0,0.00,0,0.00,0,0.00,0,0.00,14,205.51,2,33.37,16.24
Chirang,36,1,40.00,0,0.00,1,0.00,2,40.00,22,228.29,3,0.00,0.00
Darrang,70,1,23.10,0,0.00,0,0.00,1,23.10,35,485.41,12,101.72,20.96
Dhemaji,51,4,43.64,0,0.00,0,0.00,4,43.64,14,247.05,0,0.06,0.02
Dhubri,90,5,24.12,1,9.33,0,0.00,6,33.45,29,475.85,1,10.33,2.17
Dibrugarh,188,22,229.51,6,101.21,2,49.40,30,380.12,138,"1,800.83",23,231.31,12.84
Dima Hasao,33,2,17.18,0,0.00,0,0.00,2,17.18,12,117.61,1,6.92,5.88
Goalpara,73,1,9.95,0,0.00,0,0.00,1,9.95,27,331.35,8,73.79,22.27
Golaghat,127,1,25.28,0,0.00,0,0.00,1,25.28,49,832.89,7,89.56,10.75
Hailakandi,47,1,21.12,0,0.00,0,0.00,1,21.12,18,307.24,1,11.01,3.58
Hojai,66,0,0.00,0,0.00,0,0.00,0,0.00,65,763.88,24,81.58,10.68
Jorhat,143,19,253.15,51,109.81,12,60.41,82,423.37,100,"1,948.85",12,159.48,8.18
Kamrup Metro,183,62,505.90,131,274.33,57,207.38,250,987.61,120,"2,103.38",28,389.05,18.50
Karbi Anglong,63,7,28.20,2,1.69,1,5.00,10,34.89,55,827.37,6,59.57,7.20
Kokrajhar,60,57,406.00,52,210.92,120,446.48,229,1063.40,35,779.94,3,13.83,1.77
Lakhimpur,91,5,81.17,0,0.00,2,16.30,7,97.47,52,687.21,9,66.84,9.73
Majuli,16,106,870.25,11,15.19,231,260.54,348,1145.98,12,132.67,1,12.04,9.08
Morigaon,70,0,0.00,1,14.90,0,0.00,1,14.90,39,421.61,13,66.77,15.84
Nagaon,157,7,87.66,0,0.00,0,0.00,7,87.66,106,"1,471.67",19,109.01,7.41
Nalbari,84,57,440.81,66,269.63,149,462.34,272,1172.78,35,514.84,7,42.54,8.26
Sivasagar,107,42,402.51,0,0.00,0,0.00,42,402.51,72,"1,188.35",10,117.30,9.87
Sonitpur,134,40,364.11,21,33.71,11,47.97,72,445.79,99,"1,486.28",11,77.46,5.21
South Salmara,16,0,0.00,0,0.00,0,0.00,0,0.00,1,53.12,0,0.00,0.00
Tamulpur,21,1,0.00,1,19.00,0,0.00,2,19.00,3,140.79,0,0.00,0.00
Tinsukia,150,10,112.78,47,129.44,40,142.83,97,385.05,113,"2,045.17",11,144.19,7.05
Udalguri,56,113,561.52,45,190.93,53,228.80,211,981.25,14,288.27,7,155.63,53.99
West Karbi Anglong,21,0,0.00,0,0.00,0,0.00,0,0.00,8,94.94,0,0.00,0.00
