district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,CLF TL A/C,CLF TL Amt,CLF WC A/C,CLF WC Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Bajali,34,581,"3,304.05",294,"2,993.18",14,"1,413.00",20,"1,610.27",2,100.45,0,0,89,456.39,0,0,35,44.49,0,0,0,0,"1,035","9,921.83"
Baksa,33,757,"1,866.75",346,"3,176.05",10,356.72,20,"2,181.37",1,200,0,0,1,0.9,1,1.98,0,0,0,0,0,0,"1,136","7,783.77"
Barpeta,95,"4,186","15,496.15","1,876","17,120.41",80,"4,511.70",105,"12,149.90",3,452.87,11,3587.67,2,16.53,9,33.82,26,24,0,0,0,0,"6,298","53,393.05"
Biswanath,63,"2,195","8,723.67","1,053","5,485.79",42,"1,135.71",20,659.22,1,50,0,0,2,2.52,0,0,54,87.24,0,0,0,0,"3,367","16,144.15"
Bongaigaon,68,"2,429","11,281.35","1,095","11,420.78",82,"9,586.48",60,"7,557.57",8,1532.57,12,2838.53,7,42.72,3,1.17,65,63.6,0,0,0,0,"3,761","44,324.77"
Cachar,172,"4,115","21,635.99","2,022","26,185.19",163,"12,306.90",181,"30,320.47",21,4704.51,20,9628.48,4,50.9,12,42.88,5,5,0,0,0,0,"6,543","1,04,880.32"
Charaideo,36,748,"3,454.11",344,"2,297.93",10,425.94,9,726.70,1,25,0,0,1,2.99,0,0,1,3.8,0,0,0,0,"1,114","6,936.47"
Chirang,36,"1,115","4,597.36",463,"2,670.02",25,"2,255.79",13,"1,262.37",3,956.34,1,318.78,0,0,1,0,0,0,0,0,0,0,"1,621","12,060.66"
Darrang,70,"1,696","8,569.04","1,085","11,302.33",42,"2,973.03",62,"6,596.92",0,0,5,1660.43,2,5.56,3,7.63,2,11,0,0,0,0,"2,897","31,125.94"
Dhemaji,51,"1,654","5,733.15","1,229","7,990.18",29,"1,698.89",46,"3,524.62",1,49,4,390,0,0,1,0.3,129,223,0,0,0,0,"3,093","19,609.14"
Dhubri,90,"4,518","15,506.74","1,865","9,498.17",74,"6,171.48",60,"7,454.94",4,810,3,1798.94,0,0,2,7.6,9,9.4,0,0,0,0,"6,535","41,257.27"
Dibrugarh,188,"3,921","36,616.99","3,036","40,257.58",224,"16,238.39",211,22292.06,26,2131.57,13,4412.45,45,373.9,14,61.27,522,662.05,0,0,5,254.23,"8,017","1,23,300.49"
Dima Hasao,33,617,"1,270.33",227,"1,365.84",4,155.38,4,171.01,0,0,1,22,1,1.55,2,5.3,0,0,0,0,0,0,856,"2,991.41"
Goalpara,73,"2,340","9,009.02","1,233","8,145.32",46,"2,800.94",52,"5,121.42",1,9.37,10,1489.85,2,5.4,2,3.88,19,17.99,0,0,0,0,"3,705","26,603.19"
Golaghat,127,"2,881","11,831.13","1,674","11,817.19",182,"4,045.83",62,"5,158.96",6,241.68,2,315.71,3,6.91,1,6.62,128,138.5,0,0,0,0,"4,939","33,562.53"
Hailakandi,47,829,"2,204.27",502,"3,803.26",10,647.02,19,"1,474.92",0,0,2,270,2,3.82,5,36.28,9,9,0,0,0,0,"1,378","8,448.57"
Hojai,66,"2,552","12,695.05","1,198","10,810.93",46,"2,986.82",46,"4,437.88",4,121.15,1,38.7,3,11.4,0,0,15,15,0,0,0,0,"3,865","31,116.93"
Jorhat,143,"2,904","25,256.28","1,785","28,116.89",158,"13,970.63",148,"20,338.42",23,8395.18,14,7329.58,6,26.73,2,8.32,133,152.21,0,0,0,0,"5,173","1,03,594.24"
Kamrup,183,"3,491","14,646.32","2,162","34,648.84",112,"2,860.67",169,"21,699.44",9,306.97,24,9172.84,9,48.69,8,18.99,94,116.25,0,0,0,0,"6,078","83,519.01"
Kamrup Metro,475,"7,827","1,90,948.57","6,868","2,21,225.18","1,382","1,48,553.66","1,607","3,09,042.08",455,133977.26,836,210793.1,52,204.48,31,245.9,51,155.86,1,1.62,28,6513.31,"19,138","12,21,661.00"
Karbi Anglong,63,"1,343","5,492.63",643,"4,860.22",17,604.44,22,"2,819.07",0,0,0,0,5,10.31,1,3.8,1,10,0,0,0,0,"2,032","13,800.47"
Kokrajhar,60,"2,186","6,992.01","1,033","6,926.81",54,"2,360.11",36,"3,936.24",0,0,0,0,25,78.93,1,1.21,149,146.3,0,0,2,60,"3,486","20,501.61"
Lakhimpur,91,"3,750","11,041.59","2,426","15,531.88",88,"2,598.22",101,"11,291.89",10,2498.77,11,2656.66,8,23.59,2,4.1,127,135.48,0,0,0,0,"6,523","45,782.18"
Majuli,16,459,"1,288.63",204,846.81,6,58.31,3,43.27,1,3.3,0,0,0,0,0,0,0,0,0,0,0,0,673,"2,240.32"
Morigaon,70,"1,279","5,841.90",820,"5,075.43",34,"1,576.21",23,"1,432.50",6,11.61,3,29.84,15,47.19,0,0,122,174.1,0,0,0,0,"2,302","14,188.78"
Nagaon,157,"4,846","26,667.49","2,283","29,578.38",112,"9,565.92",163,"20,305.61",19,4821.68,15,5402.72,92,502.49,3,11.36,112,149.5,0,0,0,0,"7,645","97,005.15"
Nalbari,84,"1,620","9,257.80","1,174","11,538.90",44,"1,089.39",59,"8,330.33",2,57.71,9,1305.15,9,75.13,4,32.23,16,12,0,0,0,0,"2,937","31,698.64"
Sivasagar,107,"2,412","14,424.30","1,436","16,493.37",277,"5,623.84",128,"12,941.66",8,3841.72,4,835.93,4,13.61,1,1.48,80,78.77,0,0,0,0,"4,350","54,254.68"
Sonitpur,134,"2,916","20,639.76","1,893","24,369.15",135,"13,596.50",100,"14,938.54",14,4328.83,27,5337.25,4,20.9,6,39.57,567,746.35,0,0,0,0,"5,662","84,016.85"
South Salmara,16,491,"1,562.71",197,742.35,9,256.37,1,3.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,"2,564.63"
