District,Total Branch,Inactive CSP,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated Sb accounts,RuPay card issued in KCC
Bajali,35,1,"33,456","12,086","97,453","5,829"
Baksa,33,10,"49,065","18,708","1,71,278","5,174"
Barpeta,95,34,"2,41,770","66,462","7,69,954","16,633"
Biswanath,63,5,"81,563","36,811","2,11,936","8,624"
Bongaigaon,68,13,"1,09,020","23,495","2,98,555","10,734"
Cachar,172,147,"3,25,806","44,132","5,19,401","12,483"
Charaideo,36,1,"69,215","5,627","77,796","4,658"
Chirang,36,4,"57,733","32,586","2,10,419","3,945"
Darrang,70,34,"1,73,129","25,796","3,93,194","16,125"
Dhemaji,51,15,"1,05,769","42,189","2,16,977","8,995"
Dhubri,90,47,"3,21,889","55,832","6,08,316","9,077"
Dibrugarh,188,73,"1,79,793","45,348","4,66,387","25,573"
Dima Hasao,33,2,"19,726","2,820","50,511",178
Goalpara,73,18,"1,45,312","30,565","5,39,287","12,286"
Golaghat,127,32,"1,95,695","33,930","2,84,175","21,874"
Hailakandi,47,7,"1,17,581","19,196","2,60,390","5,515"
Hojai,66,10,"2,10,233","30,197","3,04,088","5,759"
Jorhat,143,64,"1,42,790","24,315","3,09,405","17,331"
Kamrup Metro,183,30,"2,95,599","54,538","6,82,401","32,975"
Karbi Anglong,63,9,"37,581","11,181","1,33,205","5,149"
Kokrajhar,60,16,"84,150","31,449","4,13,396","9,503"
Lakhimpur,91,6,"1,66,967","47,021","2,76,803","14,794"
Majuli,16,1,"40,053","3,775","49,627","1,862"
Morigaon,70,36,"2,64,701","19,156","2,73,048","11,918"
Nagaon,157,368,"3,70,564","56,197","7,88,814","27,420"
Nalbari,84,15,"76,166","19,042","3,80,046","12,465"
Sivasagar,107,93,"1,14,955","18,678","2,18,229","8,586"
Sonitpur,134,161,"1,62,676","32,379","5,54,330","13,453"
South Salmara,16,7,"6,174","4,735","1,31,600",325
Tamulpur,21,10,"45,191","19,104","1,47,395","2,658"
Tinsukia,150,79,"1,93,159","33,387","4,92,055","14,640"
Udalguri,56,18,"81,365","35,932","4,21,175","12,310"
West Karbi Anglong,21,2,"17,125","2,995","51,744",408
