District,Total Branch,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt
Bajali,3 4,2899,1959.31,2840,887.98,4,4.5,214,136.51,5957,2988.30
Baksa,3 3,2696,1487.18,1458,699.91,0,0,17,23.86,4171,2210.95
Barpeta,9 5,18931,12635.48,3352,1818.43,50,32.73,373,329.75,22706,14816.39
Biswanath,6 3,10501,6369.93,2586,771.20,17,21.13,390,107.57,13494,7269.83
Bongaigaon,6 8,5951,3346.84,1122,1110.13,1,2.08,206,120.31,7280,4579.36
Cachar,172,24173,12555.88,4315,2046.44,8,60.42,458,520.64,28954,15183.38
Charaideo,3 6,1704,1162.18,867,428.06,3,5.44,60,66.71,2634,1662.39
Chirang,3 6,5787,3196.21,718,427.58,35,99.33,43,38.98,6583,3762.10
Darrang,7 0,11850,7472.24,5788,2623.32,103,131.5,277,938.26,18018,11165.32
Dhemaji,5 1,10622,7589.42,1743,832.38,5,0.22,149,110.53,12519,8532.55
Dhubri,9 0,16678,8576.48,4890,1636.11,68,91.47,419,340.63,22055,10644.69
Dibrugarh,188,25500,15908.16,5302,2855.65,113,71.66,325,1359.94,31240,20195.41
Dima Hasao,3 3,377,85.42,180,87.82,0,0,46,86.61,603,259.85
Goalpara,7 3,8900,4414.08,2697,1631.02,37,57.83,159,102.23,11793,6205.16
Golaghat,127,23708,12115.61,3555,1387.43,1,1.07,396,411.98,27660,13916.09
Hailakandi,4 7,8814,3764.81,1464,889.61,2,0.97,305,326.70,10585,4982.09
Hojai,6 6,8069,4248.45,1286,499.59,3,4.3,375,180.18,9733,4932.52
Jorhat,143,18619,8300.68,3588,1581.13,8,9.42,329,1706.90,22544,11598.13
Kamrup Metro,183,31594,19177.05,7708,2771.53,30,296.81,656,2734.64,39988,24980.03
Karbi Anglong,6 3,7926,3844.91,1341,883.68,45,76.9,55,120.26,9367,4925.75
Kokrajhar,6 0,10781,6369.64,1246,700.89,9,13.16,114,167.72,12150,7251.41
Lakhimpur,9 1,24902,15469.24,6892,1805.02,93,41.07,321,273.70,32208,17589.03
Majuli,1 6,1680,823.97,736,699.34,3,0.13,58,73.20,2477,1596.64
Morigaon,7 0,14178,7285.05,5203,2266.98,4,3.5,321,248.45,19706,9803.98
Nagaon,157,36228,18006.39,10370,3206.96,24,46.47,958,1187.56,47580,22447.38
Nalbari,8 4,11813,6014.86,4640,1814.19,67,77.2,287,258.11,16807,8164.36
Sivasagar,107,8216,3859.69,3914,1533.08,46,75.94,233,218.73,12409,5687.44
Sonitpur,134,10753,6778.43,7266,2948.85,40,85.69,465,821.82,18524,10634.79
South Salmara,1 6,1433,425.93,230,224.12,5,7.06,4,14.91,1672,672.02
Tamulpur,2 1,2725,1551.42,795,408.45,9,15.68,27,22.67,3556,1998.22
Tinsukia,150,16178,11076.90,3155,1876.90,5,3.46,319,2160.56,19657,15117.82
Udalguri,5 6,18812,12054.23,7020,3245.72,28,57.88,167,98.07,26027,15455.90
West Karbi Anglong,2 1,2605,1037.39,719,289.90,1,0,14,27.3,3339,1354.59
