District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Bajali,35,183,231.00,-,-,370,429.22,2522,2091.53,316,209.26,291,211.97,0,0,0,0,1133,1884.14,4815,5057.12
Baksa,33,153,156.91,2,1.04,144,251.62,422,724.13,483,183.36,132,64.02,0,0,0,0,1263,3322.25,2599,4703.33
Barpeta,95,1091,668.10,-,-,1066,1802.79,2094,4611.35,749,420.57,1241,549.39,1,6.4,2,310.32,2773,7034.63,9017,15403.55
Biswanath,63,592,312.34,1,-,31,51.98,115,188.47,1568,573.62,248,113.70,0,0,0,0,970,4029.17,3525,5269.28
Bongaigaon,68,243,97.52,1,1.23,744,564.91,928,1850.91,439,507.42,121,57.31,2,85.43,1,11.15,2707,3898.97,5186,7074.85
Cachar,172,1326,674.77,4,2.20,631,950.90,1111,2140.26,2144,1665.79,6045,3524.28,8,59.56,1,1.43,4319,9783.91,15589,18803.10
Charaideo,36,206,206.94,-,-,31,56.18,14,17.10,955,462.70,9,12.85,1,0.65,1,1.14,510,1089.31,1727,1846.87
Chirang,36,195,98.81,-,-,107,69.37,1,1.06,297,267.35,324,85.78,0,0,0,0,207,391.01,1131,913.38
Darrang,70,562,436.68,5,2.85,816,1251.93,1604,3130.20,1992,915.24,609,573.21,5,363.87,2,23.03,1721,9478.59,7316,16175.60
Dhemaji,51,645,494.36,1,0.28,29,88.53,961,2176.88,941,384.40,116,52.51,0,0,0,0,781,3003.59,3474,6200.55
Dhubri,90,428,300.58,4,2.06,437,260.85,598,628.75,1321,380.03,392,153.76,0,0,6,6.27,1331,1905.14,4517,3637.44
Dibrugarh,188,4468,2818.20,1,4.04,302,488.95,1050,2072.70,5511,1973.85,341,222.94,1,1.44,11,166.44,3439,28999.22,15124,36747.78
Dima Hasao,33,37,43.19,0,0,18,16.08,5,94.20,3,7.71,2,1.21,0,0,0,0,103,451.58,168,613.97
Goalpara,73,541,233.16,12,7.17,231,180.00,589,1188.72,825,331.32,680,164.04,6,0.95,0,0,2355,6519.32,5239,8624.68
Golaghat,127,302,231.74,1,0.29,226,250.17,1307,2555.81,4332,1781.42,413,225.57,0,0,1,55.33,4048,12403.70,10630,17504.03
Hailakandi,47,618,396.25,0,0,386,517.96,18,21.65,364,325.34,389,187.55,0,0,0,0,1195,2142.92,2970,3591.67
Hojai,66,134,86.88,0,0,372,503.14,452,1114.21,481,186.19,247,170.77,0,0,1,2.47,1346,3156.53,3033,5220.19
Jorhat,143,2239,1033.70,7,11.26,545,809.30,310,804.52,4807,1811.39,618,300.79,3,354.24,3,4.36,3597,14501.10,12129,19630.66
Kamrup Metro,183,2820,1582.52,0,0,3521,1350.19,1087,1863.27,2332,1511.24,1243,574.05,0,0,3,0.95,13481,18481.26,24487,25363.48
Karbi Anglong,63,130,104.50,0,0,174,93.82,378,375.13,141,118.15,54,56.83,0,0,0,0,464,2366.64,1341,3115.07
Kokrajhar,60,189,193.46,0,0,103,128.81,132,247.56,251,181.47,153,184.35,0,0,0,0,1337,3590.38,2165,4526.03
Lakhimpur,91,377,317.53,3,1.23,332,654.41,1179,2896.07,4510,1507.16,844,439.99,0,0,1,0,1783,6161.98,9029,11978.37
Majuli,16,44,17.50,0,0,8,26.35,20,17.07,9,37.87,14,11.78,0,0,0,0,90,189.59,185,300.16
Morigaon,70,776,848.03,0,0,1055,1640.72,960,2093.13,1966,639.46,1781,1122.78,1,8.33,0,0,2916,6602.89,9455,12955.34
Nagaon,157,3811,1461.03,0,0,1199,1819.05,2848,6028.83,2938,1280.87,5534,2631.69,0,0,3,5.33,5837,8691.81,22170,21918.61
Nalbari,84,1562,732.34,7,5.91,498,787.82,1019,1535.35,1177,622.21,2102,722.41,1,1.49,2,7.97,3209,8923.63,9577,13339.13
Sivasagar,107,737,484.22,0,0,421,581.52,732,1348.33,5271,2612.49,523,264.18,0,0,1,5.98,3039,11501.72,10724,16798.44
Sonitpur,134,1086,830.01,2,1.3,263,414.89,2204,4393.22,1553,1005.30,642,316.41,0,0,4,45.33,2857,11222.99,8611,18229.45
South Salmara,16,-,-,0,0,-,-,1,0.90,1,5.76,-,-,0,0,0,0,20,29.91,22,36.57
Tamulpur,21,223,127.44,0,0,16,35.17,329,677.27,175,88.70,79,52.4,0,0,0,0,414,718.96,1236,1699.94
Tinsukia,150,4425,2594.31,36,51.38,908,1961.57,775,1448.38,2330,1459.81,233,133.94,0,0,6,58.32,2986,25498.30,11699,33206.01
Udalguri,56,1338,560.19,1,0.49,108,196.06,1795,734.26,297,552.37,79,100.23,1,0.2,2,2.28,1059,2047.86,4680,4193.94
West Karbi Anglong,21,5,6.56,0,0,50,105.83,0,0,3,8.54,5,-,0,0,0,0,66,89.05,129,209.98
