district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Bajali,35,"2,946","9,476.82",37,86.23,66,74.36,201,534.33,9,4.86,391,"1,036.72",176,177.08,"3,334","10,311.09",114,110.28,11,173.26,2,14.45
Baksa,33,"5,030","15,104.59",61,192.89,153,125.42,73,193.63,15,9.08,503,819.98,311,405.55,"4,943","14,824.57",206,124.27,8,115.37,1,9.63
Barpeta,95,"11,918","34,656.78",272,598.28,394,352.63,"1,217","3,119.72",197,57.27,"1,161","3,034.08",453,764.96,"13,053","37,383.87",771,557.26,50,759.17,7,99.86
Biswanath,63,"8,968","27,583.36",278,821.86,130,123.62,105,255.67,2,0.37,288,804.40,101,122.17,"9,493","26,828.09",747,272.70,17,185.21,3,20.01
Bongaigaon,68,"6,707","20,147.31",278,579.61,96,81.72,115,198.93,22,13.23,615,"1,680.84",249,359.35,"6,879","20,136.91",204,138.98,50,680.97,9,85.01
Cachar,172,"9,578","26,265.66",365,850.87,193,259.16,528,956.45,61,29.65,"1,118","3,567.80",428,733.73,"10,391","26,536.28",500,343.65,78,"1,200.09",11,113.53
Charaideo,36,"4,662","14,034.87",66,78.08,81,61.96,24,27.99,5,4.37,163,426.96,84,166.94,"4,991","14,830.47",120,95.35,14,205.51,2,33.37
Chirang,36,"4,212","13,291.29",202,411.50,104,73.46,99,145.24,6,3.48,968,"1,264.58",717,685.28,"3,901","11,999.84",164,90.46,22,228.29,3,0
Darrang,70,"10,428","29,510.22",348,802.71,113,102.90,366,710.62,29,21.73,544,"1,106.43",272,408.63,"10,605","28,069.52",534,458.57,35,485.41,12,101.72
Dhemaji,51,"8,414","26,073.93",411,871.54,139,68.09,225,544.57,42,60.93,917,"2,350.22",377,667.25,"9,796","29,799.03",427,232.82,14,247.05,-,0.06
Dhubri,90,"10,810","25,320.24",564,805.74,404,216.38,489,511.98,184,119.17,"1,375","2,371.46",663,724.66,"12,131","27,370.74",770,378.13,29,475.85,1,10.33
Dibrugarh,188,"10,535","35,490.19",591,"1,521.26",290,205.78,741,"1,879.94",105,104.43,"1,329","3,948.97",570,"1,086.76","10,849","34,971.49",408,285.25,138,"1,800.83",23,231.31
Dima Hasao,33,"1,439","4,055.82",103,233.43,40,87.77,80,138.35,18,20.08,221,495.06,74,136.20,"1,624","4,476.89",75,108.61,12,117.61,1,6.92
Goalpara,73,"7,856","24,966.65",294,806.12,136,92.70,171,199.02,99,82.26,594,"1,001.42",382,433.04,"7,622","22,342.48",630,336.07,27,331.35,8,73.79
Golaghat,127,"12,241","43,321.33",516,"1,324.91",171,257.09,227,558.06,20,9.00,627,"1,377.61",387,526.43,"12,876","44,992.62",253,316.83,49,832.89,7,89.56
Hailakandi,47,"4,038","9,179.62",376,634.28,317,333.56,402,585.78,77,48.92,650,"1,798.44",239,393.28,"4,266","9,032.85",583,451.87,18,307.24,1,11.01
Hojai,66,"6,094","16,877.86",181,315.29,74,48.62,363,868.97,62,32.35,364,"1,112.79",126,262.45,"6,728","17,680.66",183,123.48,65,763.88,24,81.58
Jorhat,143,"9,208","29,853.15",282,646.95,89,149.16,885,"2,411.31",22,15.9,498,"1,349.72",214,306.88,"9,629","30,507.85",134,171.82,100,"1,948.85",12,159.48
Kamrup,183,"14,298","47,378.84",665,"2,216.80",407,293.31,346,925.31,27,26.92,"1,385","3,132.61",626,824.38,"13,498","42,550.38",899,682.58,120,"2,103.38",28,389.05
Kamrup Metro,475,"4,300","11,725.59",68,129.77,135,118.64,"1,274","2,642.60",107,95.72,"1,166","4,667.30",370,741.54,"5,632","14,525.00",253,229.09,509,"9,702.89",83,997.37
Karbi Anglong,63,"7,457","28,264.97",65,131.97,93,51.70,58,138.57,-,-,386,718.81,174,164.35,"8,038","29,641.66",206,71.01,55,827.37,6,59.57
Kokrajhar,60,"6,699","19,535.85",452,835.93,136,157.23,94,185.26,8,11.95,"1,552","2,249.62","1,106","1,207.78","7,029","19,624.51",289,207.86,35,779.94,3,13.83
Lakhimpur,91,"12,143","34,785.26",439,746.92,190,159.86,452,696.41,153,65.82,"1,120","3,346.70",526,925.16,"13,314","36,710.19",677,277.30,52,687.21,9,66.84
Majuli,16,"2,294","6,111.20",80,120.21,73,92.54,25,27.49,14,6.49,169,384.08,47,86.56,"2,422","6,363.24",135,115.47,12,132.67,1,12.04
Morigaon,70,"8,189","22,132.68",192,423.00,302,206.95,616,754.35,362,221.92,673,"1,327.11",448,636.48,"9,670","22,643.53","1,554",714.78,39,421.61,13,66.77
Nagaon,157,"19,058","55,042.49",695,"1,701.53",336,304.54,862,2328.36,29,22.39,"1,342","4,817.66",590,"1,038.54","19,678","55,108.82",565,480.51,106,"1,471.67",19,109.01
Nalbari,84,"9,256","31,384.04",235,666.30,169,139.53,210,557.38,13,10.00,785,"2,097.46",383,675.72,"9,459","30,501.55",507,304.66,35,514.84,7,42.54
Sivasagar,107,"6,996","20,498.26",197,315.15,115,126.77,240,529.18,28,27.20,695,"2,378.26",259,532.15,"7,474","21,349.57",166,178.93,72,"1,188.35",10,117.30
Sonitpur,134,"10,939","33,350.65",405,"1,051.88",323,259.23,470,"1,355.35",10,10.66,"1,193","3,132.49",435,710.20,"10,976","31,694.33",871,469.26,99,"1,486.28",11,77.46
South Salmara,16,"1,198","2,817.02",54,87.85,141,48.40,4,9.83,-,-,314,398.64,260,270.60,"1,343","3,187.94",151,54.79,1,53.12,-,-
Sribhumi,96,"4,927","13,288.20",219,470.19,188,258.47,263,462.36,86,41.04,547,"1,588.08",248,430.23,"5,540","13,488.87",553,374.61,28,619.72,8,85.03
Tamulpur,21,"3,744","11,484.48",115,360.32,25,35.44,7,12.24,0,0,206,354.56,105,147.49,"3,642","10,810.74",61,50.59,3,140.79,0,0
Tinsukia,150,"9,140","31,613.99",278,618.78,215,185.77,"1,584","4,544.51",74,47.12,"1,361","4,197.53",529,979.03,"9,284","30,469.39",383,259.12,113,"2,045.17",11,144.19
Udalguri,56,"6,606","20,381.88",438,"1,056.92",135,220.64,55,114.34,5,3.81,"1,135","1,909.98","1,039","1,629.62","6,273","18,447.37",470,369.28,14,288.27,7,155.63
West Karbi Anglong,21,"2,831","9,268.88",35,56.94,72,56.74,67,284.71,0,0,25,103.25,5,19.41,"3,199","9,691.90",267,98.42,8,94.94,0,0
