district,Total Branch,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Bajali,35,"32,812","2,15,770","20,575","1,16,003","3,18,688","1,06,629","19,209","1,68,024"
Baksa,33,"64,032","2,41,208","39,230","1,77,825","3,70,509","1,50,513","26,238","2,68,095"
Barpeta,96,"2,91,831","9,69,039","1,17,644","7,25,414","15,51,137","5,13,020","92,890","11,10,135"
Biswanath,63,"1,53,185","3,55,056","52,633","3,49,253","5,33,043","2,23,567","53,887","5,56,325"
Bongaigaon,68,"86,030","5,25,812","53,889","2,92,932","7,36,222","2,46,003","38,114","4,17,076"
Cachar,175,"2,07,822","11,93,602","1,19,708","5,29,027","17,40,109","4,11,696","77,825","8,14,674"
Charaideo,36,"79,924","2,08,453","29,977","1,87,949","2,94,756","1,29,304","29,420","2,97,293"
Chirang,36,"1,00,017","2,69,797","42,096","2,46,863","4,25,497","1,72,288","22,046","3,68,926"
Darrang,70,"2,26,582","5,95,585","70,172","5,03,676","8,88,907","3,11,273","59,269","7,89,527"
Dhemaji,52,"1,09,041","4,39,498","63,026","2,92,300","6,51,303","2,39,119","70,226","4,71,567"
Dhubri,91,"4,45,734","9,38,893","99,215","9,18,350","14,14,023","5,02,035","97,647","14,61,731"
Dibrugarh,190,"2,12,858","10,45,889","1,05,850","5,55,655","14,73,969","4,06,529","90,693","8,59,206"
Dima Hasao,34,"23,370","1,21,778","18,997","68,378","1,74,716","60,960","10,265","1,02,013"
Goalpara,73,"1,89,096","5,92,629","66,358","4,77,423","9,44,646","3,19,323","60,489","7,27,008"
Golaghat,128,"1,13,701","7,62,544","81,177","3,64,336","10,62,500","3,25,975","72,994","5,51,031"
Hailakandi,47,"65,108","4,38,079","37,092","1,82,630","6,43,581","1,51,183","33,181","2,80,919"
Hojai,67,"1,12,465","7,01,002","79,453","3,17,235","9,81,356","2,73,041","44,385","4,74,085"
Jorhat,144,"1,20,475","7,79,179","78,705","3,51,186","10,86,828","2,98,593","61,465","5,33,126"
Kamrup Metro,185,"2,41,392","12,18,040","1,29,978","6,65,096","17,33,154","5,01,258","82,653","9,89,141"
Karbi Anglong,64,"82,170","2,11,281","48,662","1,99,284","3,45,401","1,57,660","53,993","3,35,447"
Kokrajhar,61,"2,07,586","4,15,039","70,671","4,79,537","7,42,266","3,10,399","39,679","7,26,802"
Lakhimpur,92,"1,23,498","6,42,687","85,189","3,90,534","9,42,894","3,39,062","70,642","5,84,674"
Majuli,17,"43,512","1,12,294","8,537","78,173","1,54,202","40,710","13,185","1,34,870"
Morigaon,70,"74,785","8,41,945","48,564","2,57,967","10,97,379","2,28,204","48,340","3,81,092"
Nagaon,157,"2,04,680","13,90,016","1,47,427","7,34,883","20,83,742","6,59,337","1,18,133","10,57,696"
Nalbari,86,"1,70,356","4,91,073","59,388","3,95,036","7,40,310","2,53,009","37,239","6,02,631"
Sivasagar,108,"1,28,514","4,99,151","73,221","3,09,647","7,21,776","2,39,882","43,269","4,81,430"
Sonitpur,135,"3,05,375","7,46,930","91,667","6,16,510","10,89,914","3,50,506","73,674","9,95,559"
South Salmara,17,"10,237","65,335","8,376","55,362","1,37,521","51,553","8,208","73,807"
Tamulpur,21,"66,575","1,54,110","27,334","1,78,880","2,56,543","1,07,958","19,672","2,65,127"
Tinsukia,151,"1,89,048","10,70,311","1,05,788","4,56,381","14,91,292","3,53,545","71,139","7,16,568"
Udalguri,56,"2,70,667","4,26,642","77,040","5,58,480","7,20,715","3,04,440","39,585","8,68,732"
West Karbi Anglong,21,"18,755","76,046","16,009","60,611","1,34,574","56,911","19,210","98,576"
