District,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C No.,Forestry and wasteland Dev. Amt,Water Resource A/C No.,Water Resource Amt,Farm mechanization A/C No.,Farm mechanization Amt,Plantation & horticulture A/C No.,Plantation & horticulture Amt,Animal Husbandry A/C No.,Animal Husbandry Amt,Fishery A/C No.,Fishery Amt,Farm Credit Others A/C No.,Farm Credit Others Amt,Agri. Infrastructure A/C,Agri. Infrastructure Amt,Ancillary Activities A/C,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Bajali,34,"1,142","1,838.65",2,4.64,0,0,316,740.67,1,1.7,209,718.86,38,51.89,"1,340","2,339.25",0,0,94,364.69,"3,142","6,060.35"
Baksa,33,985,"1,758.73",1,3.15,0,0,113,412.53,2,2,326,"1,430.48",10,35.65,992,"2,041.16",0,0,128,933.97,"2,557","6,617.67"
Barpeta,95,"4,229","6,829.56",31,82.27,132,157.42,645,"2,447.22",37,135.09,481,"2,756.80",47,676.77,"5,467","11,253.34",2,1.69,"1,306","11,963.59","12,377","36,303.75"
Biswanath,63,"3,324","4,061.60",2,2.20,0,0,295,"1,488.13",23,221.63,292,"2,055.31",11,595.56,"4,153","5,798.97",2,100.5,436,"3,269.66","8,538","17,593.56"
Bongaigaon,68,"2,310","5,649.22",1,2.75,22,21.08,349,"1,091.18",23,73.21,186,"1,102.32",6,1.56,"3,793","5,462.63",0,0,641,"2,644.69","7,331","16,048.64"
Cachar,172,"4,110","3,898.62",54,143.96,0,0,1073,3111.28,16,48.6,469,"1,886.21",69,220.78,"9,436","8,587.08",3,104.82,"2,020","8,967.51","17,250","26,968.86"
Charaideo,36,"1,429","1,451.24",5,7.2,0,0,26,59.72,0,0,193,"1,155.54",3,27.08,"1,078","1,443.69",0,0,327,"1,839.80","3,061","5,984.27"
Chirang,36,"1,555","2,567.71",-,-,0,0,329,831.15,2,3,110,618.99,7,7,"2,021","2,773.20",1,5,444,749.87,"4,469","7,555.92"
Darrang,70,"2,821","4,964.73",11,27.75,0,0,631,"2,436.80",4,17.79,547,"2,287.81",156,572.85,"5,489","6,780.11",6,151.06,"1,082","8,063.16","10,747","25,302.06"
Dhemaji,51,"2,733","3,730.11",-,-,0,0,851,"2,552.17",1,1,287,"1,451.20",13,230.91,"2,090","3,191.34",3,3.37,728,"3,029.18","6,706","14,189.28"
Dhubri,90,"3,019","4,600.26",18,44.89,2,2.15,739,"1,444.51",4,520.29,327,"2,270.89",23,262.63,"4,934","5,160.09",2,1.01,"1,691","5,807.65","10,759","20,114.37"
Dibrugarh,188,"14,341","10,970.58",26,101.52,0,0,788,2562.6,20,253.37,707,"4,679.24",32,1695.61,"6,490","8,158.65",6,1153.53,"1,893","29,159.88","24,303","58,734.98"
Dima Hasao,33,73,231.20,1,2.99,0,0,4,96.62,3,2.45,63,149.06,0,0,242,698.89,0,0,63,243.05,449,"1,424.26"
Goalpara,73,"2,806","5,885.88",-,-,0,0,365,"1,244.59",9,54.77,360,"2,699.35",9,289.51,"2,816","4,175.50",1,4,543,"3,025.44","6,909","17,379.04"
Golaghat,127,"6,005","6,208.55",7,28.15,11,20.99,424,"1,685.35",8,21.05,340,"1,391.70",19,12.54,"6,611","9,505.35",7,253.72,"1,460","11,960.18","14,892","31,087.58"
