District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhist S No.,Buddhist S Amt,Sikhs No.,Sikhs Amt,Zorastrian S No.,Zorastrians Amt,Jains No.,Jains Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Bajali,35,5,58.79,"1,800","2,996.37",-,0,-,0,0,0,0,0,"1,805","3,055.16"
Baksa,33,20,70.90,580,"1,409.59",-,0,-,-,0,0,5,442.53,605,"1,923.02"
Barpeta,95,31,284.55,"16,916","40,752.51",6,21.07,3,25.21,1,2.16,5,231.9,"16,962","41,317.40"
Biswanath,63,95,172.60,"1,438","2,622.33",2,6.61,4,12.21,0,0,5,21.20,"1,544","2,834.95"
Bongaigaon,68,253,"1,030.20","5,653","15,366.04",104,86.24,11,104.68,0,0,8,429.40,"6,029","17,016.56"
Cachar,172,482,"1,408.42","12,192","29,737.08",27,45.66,15,124.06,0,0,65,2551.34,"12,781","33,866.56"
Charaideo,36,43,63.58,362,693.37,14,33.83,11,76.64,0,0,0,0,430,867.42
Chirang,36,232,417.57,"1,862","3,543.18",3,23.5,3,16.92,0,0,-,-,"2,100","4,001.17"
Darrang,70,55,233.20,"11,677","24,190.09",7,17.08,-,0,0,0,8,291.16,"11,747","24,731.53"
Dhemaji,51,35,153.00,136,412.47,5,13.35,4,40.5,0,0,4,1.80,184,621.12
Dhubri,90,234,217.11,"15,216","28,685.37",3,9.9,9,46.36,1,35,10,597.92,"15,473","29,591.66"
Dibrugarh,188,272,977.42,"2,185","7,042.62",46,146.11,74,579.22,0,0,29,951.25,"2,606","9,696.62"
Dima Hasao,33,695,"3,592.09",58,395.03,5,29.05,1,2.50,0,0,0,0,759,"4,018.67"
Goalpara,73,491,711.39,"6,570","18,310.42",-,0,8,18.56,3,3.61,3,83,"7,075","19,126.98"
Golaghat,127,218,545.62,"2,057","4,164.48",32,51.07,29,212.01,1,0.5,17,245.03,"2,354","5,218.71"
Hailakandi,47,77,155.93,"3,765","8,097.18",-,0,2,1.70,0,0,-,-,"3,844","8,254.81"
Hojai,66,46,168.94,"5,831","10,240.41",3,18.24,19,78.97,0,0,2,25.35,"5,901","10,531.91"
Jorhat,143,196,609.34,"1,836","5,126.17",60,313.54,40,573.93,2,140.15,34,984.70,"2,168","7,747.83"
Kamrup Metro,183,219,726.14,"12,475","27,414.69",33,116.94,11,30.59,1,0.44,28,"2,004.39","12,767","30,293.19"
Karbi Anglong,63,538,"1,747.38",234,982.88,18,59.48,5,20.41,0,0,5,113.93,800,"2,924.08"
Kokrajhar,60,570,"1,932.36","4,520","10,299.47",3,15.78,3,15.07,0,0,2,2.03,"5,098","12,264.71"
Lakhimpur,91,288,999.03,"6,308","11,353.34",18,210.51,13,7.91,5,685.08,3,293.93,"6,635","13,549.80"
Majuli,16,3,14.48,8,59.35,-,0,0,0,0,0,0,0,11,73.83
Morigaon,70,20,41.85,"5,775","7,452.58",9,22.63,3,2.74,0,0,1,2.00,"5,808","7,521.80"
Nagaon,157,165,333.85,"28,589","43,636.80",6,12.6,32,254.71,1,1.2,16,"1,137.51","28,809","45,376.67"
Nalbari,84,14,77.44,"4,992","13,541.19",9,11.68,6,257.74,0,0,16,"1,239.95","5,037","15,128.00"
Sivasagar,107,78,197.37,"2,758","12,626.82",58,70.44,9,61.25,0,0,6,29.71,"2,909","12,985.59"
Sonitpur,134,472,"1,294.41","6,970","13,214.97",57,566.78,39,226.86,0,0,10,166.06,"7,548","15,469.08"
South Salmara,16,4,34.86,"1,050","3,212.84",-,0,4,1.50,0,0,-,-,"1,058","3,249.20"
Tamulpur,21,18,34.08,237,902.70,3,5.5,7,3.5,0,0,0,0,265,945.78
Tinsukia,150,232,"1,432.71","1,085","3,861.13",138,791.46,45,410.28,0,0,22,"1,434.78","1,522","7,930.36"
Udalguri,56,626,"1,847.60","1,179","3,516.27",4,18.88,5,1.52,0,0,6,20.84,"1,820","5,405.11"
West Karbi Anglong,21,123,298.90,12,101.06,2,10.04,3,1.41,1,0.5,0,0,141,411.91
