district,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Bajali,35,58,297.54,60,269.78,391,"1,036.72",176,177.08,17.08
Baksa,33,6,28.96,11,27.37,503,819.98,311,405.55,49.46
Barpeta,95,56,339.43,99,383.19,"1,161","3,034.08",453,764.96,25.21
Biswanath,63,20,91.41,45,114.62,288,804.40,101,122.17,15.19
Bongaigaon,68,31,202.53,75,231.54,615,"1,680.84",249,359.35,21.38
Cachar,172,97,706.94,122,668.78,"1,118","3,567.80",428,733.73,20.57
Charaideo,36,11,62.79,12,58.25,163,426.96,84,166.94,39.10
Chirang,36,18,111.56,26,113.48,968,"1,264.58",717,685.28,54.19
Darrang,70,18,130.29,62,160.72,544,"1,106.43",272,408.63,36.93
Dhemaji,51,81,402.86,126,269.78,917,"2,350.22",377,667.25,28.39
Dhubri,90,50,198.57,61,210.98,"1,375","2,371.46",663,724.66,30.56
Dibrugarh,188,74,401.70,176,459.33,"1,329","3,948.97",570,"1,086.76",27.52
Dima Hasao,33,6,26.33,28,43.73,221,495.06,74,136.20,27.51
Goalpara,73,18,91.00,28,75.35,594,"1,001.42",382,433.04,43.24
Golaghat,127,19,103.97,67,118.84,627,"1,377.61",387,526.43,38.21
Hailakandi,47,31,129.94,46,134.01,650,"1,798.44",239,393.28,21.87
Hojai,66,24,196.68,32,180.96,364,"1,112.79",126,262.45,23.58
Jorhat,143,30,151.63,51,146.90,498,"1,349.72",214,306.88,22.74
Kamrup,183,73,339.96,120,359.94,"1,385","3,132.61",626,824.38,26.32
Kamrup Metro,475,49,523.16,132,628.33,"1,166","4,667.30",370,741.54,15.89
Karbi Anglong,63,25,169.79,45,162.85,386,718.81,174,164.35,22.86
Kokrajhar,60,43,177.97,68,182.08,"1,552","2,249.62","1,106","1,207.78",53.69
Lakhimpur,91,55,254.97,108,264.29,"1,120","3,346.70",526,925.16,27.64
Majuli,16,7,38.38,7,25.40,169,384.08,47,86.56,22.54
Morigaon,70,16,55.89,29,59.76,673,"1,327.11",448,636.48,47.96
Nagaon,157,116,688.12,169,736.19,"1,342","4,817.66",590,"1,038.54",21.56
Nalbari,84,21,90.12,57,125.50,785,"2,097.46",383,675.72,32.22
Sivasagar,107,56,374.14,114,301.38,695,"2,378.26",259,532.15,22.38
Sonitpur,134,74,579.66,133,571.87,"1,193","3,132.49",435,710.20,22.67
South Salmara,16,2,7.79,3,13.43,314,398.64,260,270.60,67.88
Sribhumi,96,29,164.75,34,160.43,547,"1,588.08",248,430.23,27.09
Tamulpur,21,6,14.80,6,9.63,206,354.56,105,147.49,41.60
Tinsukia,150,97,484.28,130,505.04,"1,361","4,197.53",529,979.03,23.32
Udalguri,56,17,69.70,16,59.23,"1,135","1,909.98","1,039","1,629.62",85.32
West Karbi Anglong,21,2,22.36,2,13.05,25,103.25,5,19.41,18.80
