District,Total Branch,Micro No.,Micro Amt,Small No.,Small Amt,Medium No.,Medium Amt,KVIC No.,KVIC Amt,Other Msme No.,Other Msme Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt
Bajali,34,649,537.70,32,45.73,0,0,13,24.95,0,0.00,694,608.38
Baksa,33,1053,808.99,212,299.69,1,11.76,229,294.84,1,0.17,1496,1415.45
Barpeta,95,3004,4347.72,1030,1818.09,1,0,198,210.62,1,0.39,4234,6376.82
Biswanath,63,2201,1518.59,376,360.42,1,2.98,53,19.44,4,5.14,2635,1906.57
Bongaigaon,68,2469,3401.42,156,256.68,5,1207.3,143,175.90,6,0.00,2779,5041.30
Cachar,172,5941,8208.68,1142,3444.89,7,36.32,169,146.74,103,114.31,7362,11950.94
Charaideo,36,1011,1155.80,193,410.48,0,0,33,57.04,5,16.62,1242,1639.94
Chirang,36,1377,916.73,678,637.22,1,0.26,387,398.47,1,0.09,2444,1952.77
Darrang,70,3017,3036.33,609,621.43,5,20.27,129,163.84,33,1.36,3793,3843.23
Dhemaji,51,2254,1619.26,407,405.88,2,11.72,65,69.08,2,0.70,2730,2106.64
Dhubri,90,3022,2427.91,1259,930.44,5,12.35,211,127.55,73,131.01,4570,3629.26
Dibrugarh,188,6556,10908.97,1094,5143.99,41,1264.63,423,298.46,162,190.78,8276,17806.83
Dima Hasao,33,789,636.07,4,5.13,0,0,13,23.09,0,0.00,806,664.29
Goalpara,73,2592,3013.99,815,962.55,18,62.58,126,160.26,14,38.20,3565,4237.58
Golaghat,127,4253,4373.04,184,859.45,0,0,118,117.21,1,0.00,4556,5349.70
Hailakandi,47,1912,1634.68,138,111.06,1,0.28,121,162.84,10,3.83,2182,1912.69
Hojai,66,2846,3284.37,405,424.66,5,32.38,72,81.79,1,2.63,3329,3825.83
Jorhat,143,4230,8928.40,519,4334.15,19,1185.79,91,77.99,90,54.19,4949,14580.52
Kamrup Metro,183,5633,14471.30,974,11754.30,16,721.43,243,293.42,101,255.12,6967,27495.57
Karbi Anglong,63,1919,1278.96,238,387.64,2,22.55,104,42.50,1,2.62,2264,1734.27
Kokrajhar,60,1636,2007.49,1260,1520.65,1,6.9,444,426.01,100,135.68,3441,4096.73
Lakhimpur,91,6243,4828.16,702,1148.57,22,10.42,127,67.07,4,8.92,7098,6063.14
Majuli,16,326,318.95,141,188.65,1,11.93,5,4.82,0,0.00,473,524.35
Morigaon,70,3806,3391.92,669,1194.41,4,3.24,112,185.25,4,0.00,4595,4774.82
Nagaon,157,8371,8235.50,473,1351.41,4,101.01,220,289.41,62,161.91,9130,10139.24
Nalbari,84,2677,3130.37,786,1108.07,13,114.53,213,335.81,15,19.32,3704,4708.10
Sivasagar,107,3677,4326.07,329,1704.85,1,21.73,103,120.58,13,41.71,4123,6214.94
Sonitpur,134,4107,5021.23,1557,3425.67,20,161.97,240,207.68,98,248.03,6022,9064.58
South Salmara,16,295,415.99,518,606.65,0,0,71,86.50,31,104.77,915,1213.91
Tamulpur,21,569,461.83,305,310.49,1,7.23,54,57.88,15,24.43,944,861.86
Tinsukia,150,5077,7637.08,688,1191.40,2,10.11,267,336.10,32,50.95,6066,9225.64
Udalguri,56,2176,1833.99,2032,3530.09,2,7.78,240,294.15,75,259.96,4525,5925.97
West Karbi Anglong,21,405,187.09,1,1.16,0,0,1,1.5,0,0.00,407,189.75
