district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt.
Bajali,35,28,161.15,"9,670","10,672.99",2,1.12,2,11.73,1,0,13,21.08,"9,716","10,868.07"
Baksa,33,75,213.69,"3,358","5,943.97",11,46.75,4,2.51,1,0,9,379.76,"3,458","6,586.68"
Barpeta,95,155,752.78,"75,998","1,31,641.18",30,54.08,12,59.38,5,2.16,389,424.25,"76,589","1,32,933.83"
Biswanath,63,404,555.14,"8,894","11,381.97",377,466.98,16,78.61,4,0,39,174.60,"9,734","12,657.30"
Bongaigaon,68,"1,005","2,529.33","25,278","50,370.96",591,328.80,33,121.40,18,2.54,71,285.73,"26,996","53,638.76"
Cachar,172,"2,239","5,797.03","72,646","1,15,809.57",71,212.32,77,287.52,7,6.78,104,"3,324.39","75,144","1,25,437.61"
Charaideo,36,168,218.28,"2,613","4,176.76",79,294.70,40,210.46,4,9.45,9,9.20,"2,913","4,918.85"
Chirang,36,"2,380","2,379.20","7,944","10,536.28",28,35.36,11,32.78,7,4.68,1,1.32,"10,371","12,989.62"
Darrang,70,237,783.38,"50,613","72,513.79",773,"1,025.84",17,159.88,7,6.85,328,464.20,"51,975","74,953.94"
Dhemaji,51,147,529.64,566,"1,344.45",24,107.06,25,107.39,4,1.43,25,44.33,791,"2,134.30"
Dhubri,90,"1,058",997.33,"71,353","1,02,271.13",14,28.49,35,139.74,3,6.78,33,777.62,"72,496","1,04,221.09"
Dibrugarh,188,"1,354","3,603.83","9,906","24,913.18",215,785.81,315,"1,815.61",12,4.68,123,"1,361.37","11,925","32,484.48"
Dima Hasao,33,"3,522","12,363.37",357,"1,332.92",13,44.86,6,17.57,1,0,-,-,"3,899","13,758.72"
Goalpara,73,"3,172","2,899.48","34,373","63,258.38",9,14.21,19,62.06,17,17.33,152,217.84,"37,742","66,469.30"
Golaghat,127,"1,272","1,874.69","11,214","17,173.59",235,282.97,108,442.80,10,2.39,73,254.08,"12,912","20,030.52"
Hailakandi,47,267,547.74,"27,174","40,440.66",3,4.78,3,2.05,1,0,13,11.23,"27,461","41,006.46"
Hojai,66,327,869.95,"24,518","38,823.54",16,102.63,56,231.74,3,0,89,74.93,"25,009","40,102.79"
Jorhat,143,916,"3,968.60","9,409","21,404.73",365,886.47,177,"1,443.55",10,76.68,124,"1,792.18","11,001","29,572.21"
Kamrup,183,"1,242","2,150.90","63,780","95,428.72",170,290.07,45,195.60,19,17.09,406,"2,616.83","65,662","1,00,699.21"
Kamrup Metro,475,"3,258","24,845.91","40,496","1,66,781.74",662,"2,767.95",509,"7,363.15",21,31.58,755,"45,930.53","45,701","2,47,720.86"
Karbi Anglong,63,"2,939","7,021.54","1,682","3,191.02",93,258.06,26,204.02,3,0.62,12,404.19,"4,755","11,079.45"
Kokrajhar,60,"4,078","6,633.69","19,299","31,465.37",9,84.66,16,53.57,5,158.94,27,70.38,"23,434","38,466.61"
Lakhimpur,91,"1,094","2,763.32","22,795","34,564.68",671,"1,018.03",45,105.52,32,702.86,477,"1,155.51","25,114","40,309.92"
Majuli,16,20,48.31,88,393.48,4,4.18,-,-,2,0,-,-,114,445.97
Morigaon,70,151,317.26,"30,081","34,216.31",32,57.56,17,14.72,5,0.44,35,25.13,"30,321","34,631.42"
Nagaon,157,883,"1,376.90","1,13,342","1,54,430.73",55,71.62,171,920.26,14,4.38,121,753.76,"1,14,586","1,57,557.65"
Nalbari,84,83,265.20,"27,226","45,684.40",26,51.05,30,209.27,7,2.25,81,"1,551.68","27,453","47,763.85"
Sivasagar,107,329,815.34,"13,678","34,155.50",249,479.50,48,183.04,5,1.77,82,234.99,"14,391","35,870.14"
Sonitpur,134,"1,685","4,131.74","31,815","44,189.38","1,076","3,265.35",142,609.30,7,1.71,256,"2,782.86","34,981","54,980.34"
South Salmara,16,22,70.79,"6,547","13,643.98",1,-,10,25.23,1,1.22,1,23.03,"6,582","13,764.25"
Sribhumi,96,504,711.42,"31,690","53,227.18",8,6.12,25,110.56,3,5.39,30,139.79,"32,260","54,200.46"
Tamulpur,21,85,217.67,"1,781","3,624.04",5,6.23,16,15.05,2,0,13,5.79,"1,902","3,868.78"
Tinsukia,150,"1,327","5,177.99","4,967","12,551.65",735,"3,569.16",160,"2,002.11",2,0,86,"2,126.84","7,277","25,427.75"
Udalguri,56,"5,031","9,644.72","6,943","15,639.04",431,443.12,14,34.13,9,1.77,36,27.21,"12,464","25,789.99"
West Karbi Anglong,21,538,"1,361.68",66,255.01,2,13.57,4,17.87,2,3.34,1,3.09,613,"1,654.56"
