District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Tot Msme (PS) NPA No.,Tot Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Bajali,34,19933,23251.97,5957,2988.30,12.85,4346,19588.30,694,608.38,3.11,4451,13788.20,112,169.34,1.23,28730,56628.47,6763,3766.02,6.65
Baksa,33,16841,21651.66,4171,2210.95,10.21,4907,14470.32,1496,1415.45,9.78,1908,8154.05,74,140.77,1.73,23656,44276.03,5741,3767.17,8.51
Barpeta,95,65995,84982.39,22706,14816.39,17.43,16372,87633.67,4234,6376.82,7.28,19326,36858.80,423,468.43,1.27,101693,209474.86,27363,21661.64,10.34
Biswanath,63,40515,54966.53,13494,7269.83,13.23,9491,33602.16,2635,1906.57,5.67,9304,18542.06,111,143.33,0.77,59310,107110.75,16240,9319.73,8.70
Bongaigaon,68,35893,44528.36,7280,4579.36,10.28,13656,74818.24,2779,5041.30,6.74,11135,28403.31,166,301.17,1.06,60684,147749.91,10225,9921.83,6.72
Cachar,172,85479,80764.96,28954,15183.38,18.80,31127,169147.05,7362,11950.94,7.07,49521,52990.48,958,755.32,1.43,166127,302902.49,37274,27889.64,9.21
Charaideo,36,21790,26117.30,2634,1662.39,6.37,5694,18703.83,1242,1639.94,8.77,3830,6398.99,117,75.89,1.19,31314,51220.12,3993,3378.22,6.60
Chirang,36,20054,21470.83,6583,3762.10,17.52,6402,20983.63,2444,1952.77,9.31,6272,10422.37,89,57.24,0.55,32728,52876.83,9116,5772.11,10.92
Darrang,70,58685,70422.03,18018,11165.32,15.85,12447,57278.94,3793,3843.23,6.71,9695,27077.87,217,333.53,1.23,80827,154778.84,22028,15342.08,9.91
Dhemaji,51,38925,46156.44,12519,8532.55,18.49,11263,38145.13,2730,2106.64,5.52,8315,26117.28,162,208.71,0.80,58503,110418.85,15411,10847.90,9.82
Dhubri,90,52270,53430.73,22055,10644.69,19.92,15265,58853.77,4570,3629.26,6.17,19017,31144.17,377,406.96,1.31,86552,143428.67,27002,14680.91,10.24
Dibrugarh,188,92732,136051.98,31240,20195.41,14.84,28089,219875.71,8276,17806.83,8.10,18603,61263.81,428,1426.16,2.33,139424,417191.50,39944,39428.40,9.45
Dima Hasao,33,3657,6060.42,603,259.85,4.29,4500,9383.42,806,664.29,7.08,537,3865.60,13,26.20,0.68,8694,19309.44,1422,950.34,4.92
Goalpara,73,39208,44598.81,11793,6205.16,13.91,12426,46634.74,3565,4237.58,9.09,14408,22375.88,621,402.44,1.80,66042,113609.43,15979,10845.18,9.55
Golaghat,127,83990,101796.48,27660,13916.09,13.67,18242,71729.15,4556,5349.70,7.46,16553,31394.97,281,291.29,0.93,118785,204920.60,32497,19557.08,9.54
Hailakandi,47,25835,21321.16,10585,4982.09,23.37,7564,21476.36,2182,1912.69,8.91,8391,9273.95,163,309.27,3.33,41790,52071.47,12930,7204.05,13.83
Hojai,66,34609,37915.55,9733,4932.52,13.01,11416,55072.46,3329,3825.83,6.95,10031,13847.14,114,143.92,1.04,56056,106835.15,13176,8902.27,8.33
Jorhat,143,68673,101072.42,22544,11598.13,11.48,20248,168904.46,4949,14580.52,8.63,18000,70654.89,300,850.79,1.20,106921,340631.77,27793,27029.44,7.94
Kamrup Metro,183,123351,123587.01,39988,24980.03,20.21,24632,151220.07,6967,27495.57,18.18,29098,66270.95,603,1399.67,2.11,177081,341078.03,47558,53875.27,15.80
Karbi Anglong,63,42613,50570.36,9367,4925.75,9.74,10592,27539.09,2264,1734.27,6.30,6805,25132.55,279,232.52,0.93,60010,103242.00,11910,6892.54,6.68
Kokrajhar,60,43928,48631.33,12150,7251.41,14.91,10739,39440.41,3441,4096.73,10.39,10983,20983.58,158,96.33,0.46,65650,109055.32,15749,11444.47,10.49
Lakhimpur,91,83996,83745.62,32208,17589.03,21.00,20716,78370.37,7098,6063.14,7.74,13557,47178.14,236,351.73,0.75,118269,209294.13,39542,24003.90,11.47
Majuli,16,11664,10390.44,2477,1596.64,15.37,2250,5925.51,473,524.35,8.85,1789,8277.01,22,47.19,0.57,15703,24592.96,2972,2168.18,8.82
Morigaon,70,55980,53565.94,19706,9803.98,18.30,12628,33945.10,4595,4774.82,14.07,8798,16128.68,306,228.30,1.42,77406,103639.72,24607,14807.10,14.29
Nagaon,157,124256,122973.74,47580,22447.38,18.25,33875,171880.37,9130,10139.24,5.90,22828,56180.71,418,871.15,1.55,180959,351034.82,57128,33457.77,9.53
Nalbari,84,49947,56536.15,16807,8164.36,14.44,13476,59930.73,3704,4708.10,7.86,13435,36657.93,302,406.99,1.11,76858,153124.81,20813,13279.45,8.67
Sivasagar,107,50008,57084.50,12409,5687.44,9.96,16664,102918.74,4123,6214.94,6.04,12021,32856.91,225,537.78,1.64,78693,192860.15,16757,12440.16,6.45
Sonitpur,134,62252,75026.85,18524,10634.79,14.17,22547,148242.28,6022,9064.58,6.11,20139,59668.62,452,855.41,1.43,104938,282937.75,24998,20554.78,7.26
South Salmara,16,3304,3691.85,1672,672.02,18.20,2014,5877.87,915,1213.91,20.65,1312,4158.99,24,70.19,1.69,6630,13728.71,2611,1956.12,14.25
Tamulpur,21,11430,16081.16,3556,1998.22,12.43,3834,8753.65,944,861.86,9.85,1808,5525.66,50,108.93,1.97,17072,30360.47,4550,2969.01,9.78
Tinsukia,150,61001,108562.55,19657,15117.82,13.93,24595,197389.12,6066,9225.64,4.67,13214,38530.05,456,561.47,1.46,98810,344481.72,26179,24904.93,7.23
Udalguri,56,46605,42037.23,26027,15455.90,36.77,10373,27887.26,4525,5925.97,21.25,9551,23967.70,209,186.42,0.78,66529,93892.19,30761,21568.29,22.97
West Karbi Anglong,21,14072,15562.32,3339,1354.59,8.70,1799,2202.10,407,189.75,8.62,1156,6373.36,27,44.05,0.69,17027,24137.78,3773,1588.39,6.58
