district,Total Branch,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Bajali,35,26,13,83.33,29.00,52,28,79.55,26.91,141,59,443.01,156.92
Baksa,33,16,8,35.44,17.76,38,16,47.40,16.42,87,43,329.21,154.25
Barpeta,95,69,39,262.20,181.57,150,79,211.64,131.43,537,264,"2,070.44",988.38
Biswanath,63,47,23,123.89,60.93,97,47,145.50,85.29,303,170,"1,099.38",627.07
Bongaigaon,68,26,9,268.66,186.14,68,30,209.60,121.63,213,88,"1,241.73",560.86
Cachar,172,191,95,680.86,332.36,655,193,725.91,257.25,"1,532",399,"4,805.82","1,278.92"
Charaideo,36,18,9,81.38,59.60,39,16,42.16,18.67,113,51,357.24,178.76
Chirang,36,23,8,69.61,21.06,42,14,55.72,20.73,96,29,325.43,67.01
Darrang,70,59,38,191.62,119.82,131,74,179.93,119.37,476,245,"1,725.09",887.08
Dhemaji,51,26,12,64.06,29.68,78,38,82.04,45.21,241,118,779.22,406.80
Dhubri,90,29,12,85.23,17.92,80,37,107.18,46.14,246,83,951.18,311.10
Dibrugarh,188,133,116,798.13,494.46,325,206,647.97,415.01,"1,126",617,"4,849.02","2,435.50"
Dima Hasao,33,10,7,46.91,12.73,18,10,31.14,12.02,56,30,226.12,95.95
Goalpara,73,35,17,111.32,38.17,67,33,103.94,40.90,206,93,904.79,346.78
Golaghat,127,40,17,178.24,60.85,146,70,192.19,66.44,477,223,"1,932.82",796.73
Hailakandi,47,14,3,22.02,3.28,32,10,26.46,10.20,106,34,296.97,112.75
Hojai,66,33,18,108.26,73.49,83,40,164.20,102.76,212,91,867.52,355.91
Jorhat,143,88,43,392.24,197.12,292,134,530.36,251.21,"1,053",503,"4,964.29","2,464.61"
Kamrup Metro,183,284,83,"1,071.88",345.33,852,297,"1,128.11",436.48,"1,984",737,"8,046.68","3,150.64"
Karbi Anglong,63,20,12,87.88,68.72,39,22,48.54,24.14,130,59,391.10,196.25
Kokrajhar,60,32,13,144.13,88.72,75,36,141.97,95.61,197,80,845.10,344.25
Lakhimpur,91,64,29,192.63,133.87,152,72,222.54,139.29,510,247,"1,713.91",793.58
Majuli,16,8,4,17.93,11.59,20,8,20.68,8.87,43,13,113.58,28.02
Morigaon,70,30,15,174.00,38.35,76,40,85.62,40.59,198,87,714.76,284.02
Nagaon,157,61,20,347.81,67.69,181,78,449.96,170.20,505,202,"2,579.41","1,198.02"
Nalbari,84,56,24,286.50,101.74,153,88,212.39,112.17,505,230,"1,862.50",829.31
Sivasagar,107,89,43,348.67,101.23,201,96,346.29,104.39,492,248,"2,133.91",918.16
Sonitpur,134,84,48,484.41,239.57,225,112,459.76,223.94,733,348,"3,581.22","1,632.93"
South Salmara,16,5,2,7.49,1.10,9,3,6.28,1.94,29,7,89.14,16.14
Tamulpur,21,19,11,33.69,24.15,53,31,51.13,29.24,121,75,341.64,227.66
Tinsukia,150,88,36,482.48,235.37,207,84,454.19,225.55,762,305,"3,338.95","1,364.77"
Udalguri,56,57,36,161.45,64.90,112,69,115.28,67.77,444,294,"1,500.94",929.69
West Karbi Anglong,21,5,2,18.66,3.09,8,3,20.07,3.96,22,7,77.58,22.23
