District,Total Branch,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Bajali,35,185,49.05,310,"1,620.85",411,280.35,646,"3,199.62","3,334","10,311.09",114,110.28,1 .07
Baksa,33,36,2.31,308,"2,021.01",103,23.43,827,"4,026.22","4,943","14,824.57",206,124.27,0 .84
Barpeta,95,377,324.29,"1,294","7,942.74",821,459.92,"3,685","18,772.33","13,053","37,383.87",771,557.26,1 .49
Biswanath,63,158,34.37,634,"2,953.81",968,323.39,"3,229","13,559.45","9,493","26,828.09",747,272.70,1 .02
Bongaigaon,68,110,15.57,792,"4,030.94",355,54.24,"2,046","9,213.51","6,879","20,136.91",204,138.98,0 .69
Cachar,172,57,18.95,687,"3,231.34",367,121.60,"3,027","10,400.53","10,391","26,536.28",500,343.65,1 .30
Charaideo,36,27,19.54,260,"1,335.59",40,23.10,765,"2,974.30","4,991","14,830.47",120,95.35,0 .64
Chirang,36,23,0.40,447,"1,565.91",107,11.75,"1,762","5,493.07","3,901","11,999.84",164,90.46,0 .75
Darrang,70,195,95.22,"1,189","5,733.92",589,137.74,"3,114","12,138.76","10,605","28,069.52",534,458.57,1 .63
Dhemaji,51,161,22.97,"1,029","4,513.80",923,183.19,"4,176","13,898.46","9,796","29,799.03",427,232.82,0 .78
Dhubri,90,150,19.57,"1,314","5,185.07","1,036",460.09,"5,292","15,053.84","12,131","27,370.74",770,378.13,1 .38
Dibrugarh,188,268,164.02,"1,190","5,966.39","1,400",562.58,"5,087","18,230.45","10,849","34,971.49",408,285.25,0 .82
Dima Hasao,33,21,0.83,94,406.28,54,1.47,206,731.30,"1,624","4,476.89",75,108.61,2 .43
Goalpara,73,41,27.12,627,"3,463.44",167,124.51,"1,794","7,950.17","7,622","22,342.48",630,336.07,1 .50
Golaghat,127,137,32.44,"1,357","7,143.09","1,204",353.22,"4,772","19,444.84","12,876","44,992.62",253,316.83,0 .70
Hailakandi,47,27,4.21,192,957.32,219,45.55,"1,184","3,333.48","4,266","9,032.85",583,451.87,5 .00
Hojai,66,107,7.64,510,"1,987.93",323,87.73,"1,978","7,178.62","6,728","17,680.66",183,123.48,0 .70
Jorhat,143,109,44.92,"1,053","5,314.88",449,111.50,"3,021","12,795.76","9,629","30,507.85",134,171.82,0 .56
Kamrup Metro,183,192,64.27,"1,231","6,672.43","1,700",496.28,"5,616","23,387.49","13,498","42,550.38",899,682.58,1 .60
Karbi Anglong,63,22,0.65,413,"2,183.16",42,0.82,786,"3,546.82","8,038","29,641.66",206,71.01,0 .24
Kokrajhar,60,69,8.49,943,"4,276.12",242,31.18,"3,111","10,864.61","7,029","19,624.51",289,207.86,1 .06
Lakhimpur,91,124,41.15,"1,363","5,702.62","1,013",154.98,"4,523","15,543.85","13,314","36,710.19",677,277.30,0 .76
Majuli,16,24,0.57,270,"1,628.05",33,0.91,551,"2,768.38","2,422","6,363.24",135,115.47,1 .81
Morigaon,70,134,109.48,584,"2,548.08",304,197.29,"1,958","8,841.89","9,670","22,643.53","1,554",714.78,3 .16
Nagaon,157,170,47.40,"1,963","9,682.73",771,91.72,"4,974","21,174.27","19,678","55,108.82",565,480.51,0 .87
Nalbari,84,128,203.22,807,"5,547.01",258,349.52,"2,517","13,283.01","9,459","30,501.55",507,304.66,1 .00
Sivasagar,107,63,28.76,729,"3,314.14",428,64.54,"2,146","7,440.03","7,474","21,349.57",166,178.93,0 .84
Sonitpur,134,134,46.11,"1,057","5,554.00",351,155.52,"3,232","13,054.01","10,976","31,694.33",871,469.26,1 .48
South Salmara,16,9,0.17,125,446.95,15,0.27,371,741.10,"1,343","3,187.94",151,54.79,1 .72
Tamulpur,21,38,10.54,319,"1,888.24",83,21.60,826,"3,599.10","3,642","10,810.74",61,50.59,0 .47
Tinsukia,150,184,35.72,704,"4,019.61",704,140.65,"2,527","10,139.86","9,284","30,469.39",383,259.12,0 .85
Udalguri,56,238,212.06,638,"3,522.75",367,286.64,"2,695","10,274.10","6,273","18,447.37",470,369.28,2 .00
West Karbi Anglong,21,20,0.13,150,696.23,36,0.33,253,"1,115.33","3,199","9,691.90",267,98.42,1 .02
