District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,Msme (PS) Target No.,Msme (PS) Target Amt,Msme (PS) Achieved No.,Msme (PS) Achieved Amt,Msme (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Bajali,34,"21,795","30,315.00","3,142","6,060.35",19.99,"14,825","17,275.00","1,142","1,838.65",10.64,"4,950","18,175.00","1,035","9,921.83",54.59,"2,131","8,130.00","1,390","3,930.70",48.35,"28,876","56,620.00","5,567","19,912.88",35.17
Baksa,33,"85,335","33,854.00","2,557","6,617.67",19.55,"30,169","17,384.00",985,"1,758.73",10.12,"5,967","11,254.00","1,136","7,783.77",69.16,"11,004","2,683.00",637,"1,600.81",59.66,"1,02,306","47,791.00","4,330","16,002.25",33.48
Barpeta,95,"60,912","1,11,300.00","12,377","36,303.75",32.62,"17,645","22,440.00","4,229","6,829.56",30.43,"18,493","75,645.00","6,298","53,393.05",70.58,"4,851","14,000.00","7,342","11,702.43",83.59,"84,256","2,00,945.00","26,017","1,01,399.23",50.46
Biswanath,63,"15,670","65,430.00","8,538","17,593.56",26.89,"2,796","23,340.00","3,324","4,061.60",17.40,"7,309","30,990.00","3,367","16,144.15",52.09,"3,438","14,700.00","2,673","4,887.24",33.25,"26,417","1,11,120.00","14,578","38,624.95",34.76
Bongaigaon,68,"57,554","68,673.47","7,331","16,048.64",23.37,"31,151","31,301.17","2,310","5,649.22",18.05,"16,196","60,000.00","3,761","44,324.77",73.87,"3,284","15,100.00","3,092","5,611.42",37.16,"77,034","1,43,773.47","14,184","65,984.83",45.89
Cachar,172,"71,287","1,01,724.00","17,250","26,968.86",26.51,"41,034","34,738.90","4,110","3,898.62",11.22,"28,810","1,46,276.72","6,543","1,04,880.32",71.70,"45,070","36,276.08","13,221","12,119.34",33.41,"1,45,167","2,84,276.80","37,014","1,43,968.52",50.64
Charaideo,36,"14,441","32,512.00","3,061","5,984.27",18.41,"6,790","10,450.00","1,429","1,451.24",13.89,"2,899","14,721.00","1,114","6,936.47",47.12,"2,242","2,521.00",991,"1,817.31",72.09,"19,582","49,754.00","5,166","14,738.05",29.62
Chirang,36,"36,395","39,566.98","4,469","7,555.92",19.10,"22,002","26,297.12","1,555","2,567.71",9.76,"2,384","22,197.00","1,621","12,060.66",54.33,"2,618","4,819.93","1,718","2,864.44",59.43,"41,397","66,583.91","7,808","22,481.02",33.76
Darrang,70,"40,342","55,688.40","10,747","25,302.06",45.44,"23,523","27,946.23","2,821","4,964.73",17.77,"35,972","60,598.86","2,897","31,125.94",51.36,"3,950","7,628.56","3,368","6,564.57",86.05,"80,264","1,23,915.82","17,012","62,992.57",50.83
Dhemaji,51,"37,915","57,984.77","6,706","14,189.28",24.47,"31,150","40,881.79","2,733","3,730.11",9.12,"4,306","24,558.60","3,093","19,609.14",79.85,"1,520","7,901.65","2,067","5,723.39",72.43,"43,741","90,445.02","11,866","39,521.81",43.70
Dhubri,90,"70,001","70,415.04","10,759","20,114.37",28.57,"20,391","15,471.60","3,019","4,600.26",29.73,"5,942","55,252.83","6,535","41,257.27",74.67,"7,564","41,865.52","7,779","11,416.43",27.27,"83,507","1,67,533.39","25,073","72,788.07",43.45
Dibrugarh,188,"56,580","1,65,254.00","24,303","58,734.98",35.54,"25,210","57,367.00","14,341","10,970.58",19.12,"13,850","2,28,700.00","8,017","1,23,300.49",53.91,"3,345","73,110.00","3,745","8,103.41",11.08,"73,775","4,67,064.00","36,065","1,90,138.88",40.71
Dima Hasao,33,"21,176","23,545.57",449,"1,424.26",6.05,"13,037","13,876.68",73,231.20,1.67,"2,765","8,378.04",856,"2,991.41",35.71,872,"2,473.48",158,427.89,17.30,"24,813","34,397.09","1,463","4,843.56",14.08
Goalpara,73,"35,191","60,670.73","6,909","17,379.04",28.64,"24,911","46,029.79","2,806","5,885.88",12.79,"10,042","28,932.06","3,705","26,603.19",91.95,"7,938","16,379.64","4,499","6,828.80",41.69,"53,171","1,05,982.43","15,113","50,811.03",47.94
Golaghat,127,"59,691","1,23,905.66","14,892","31,087.58",25.09,"22,304","82,044.36","6,005","6,208.55",7.57,"2,864","60,558.96","4,939","33,562.53",55.42,"3,526","9,779.00","3,757","4,975.51",50.88,"66,081","1,94,243.62","23,588","69,625.62",35.84
Hailakandi,47,"13,812","28,223.00","4,219","6,360.13",22.54,"7,075","11,610.00","1,441","1,660.55",14.30,"2,258","21,158.00","1,378","8,448.57",39.93,"7,740","21,983.00","2,232","2,199.23",10.00,"23,810","71,364.00","7,829","17,007.93",23.83
Hojai,66,"21,410","46,890.52","7,824","11,468.93",24.46,"16,272","34,190.68","3,385","2,704.67",7.91,"5,252","68,889.45","3,865","31,116.93",45.17,"3,980","6,977.08","4,045","5,206.60",74.62,"30,642","1,22,757.05","15,734","47,792.46",38.93
Jorhat,143,"70,759","1,27,861.78","13,811","42,304.06",33.09,"39,407","37,000.00","5,588","4,940.68",13.35,"11,191","1,52,709.00","5,173","1,03,594.24",67.84,"5,795","15,150.00","5,210","9,892.27",65.30,"87,745","2,95,720.78","24,194","1,55,790.57",52.68
Kamrup Metro,183,"1,09,978","1,49,404.07","22,705","42,658.25",28.55,"74,083","39,425.42","5,928","9,977.35",25.31,"52,263","95,884.36","6,078","83,519.01",87.10,"5,777","24,657.84","7,952","12,325.81",49.99,"1,68,018","2,69,946.27","36,735","1,38,503.07",51.31
Karbi Anglong,63,"71,279","79,602.55","3,761","6,871.23",8.63,"54,697","54,353.87","2,072","1,383.64",2.55,"5,231","27,728.05","2,032","13,800.47",49.77,"4,662","15,980.31","1,719","4,006.76",25.07,"81,172","1,23,310.91","7,512","24,678.46",20.01
Kokrajhar,60,"53,539","59,558.00","9,156","17,937.14",30.12,"7,969","10,159.00","2,969","5,031.21",49.52,"9,901","19,600.00","3,486","20,501.61",104.60,"2,124","4,292.00","3,502","5,695.34",132.70,"65,564","83,450.00","16,144","44,134.09",52.89
