District,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Bajali,34,0,0.00,51,50.50,569,"2,572.15",1,280,230,314.26,539,713.79,"1,390","3,930.70","4,715","7,576.67"
Baksa,33,0,0.00,41,43.68,85,679.69,0,0,398,619.4,113,258.04,637,"1,600.81","2,973","7,126.21"
Barpeta,95,0,0.00,184,260.81,725,"5,009.15",0,0,3145,4502,"3,288","1,930.47","7,342","11,702.43","19,429","39,927.56"
Biswanath,63,0,0.00,126,206.67,249,"1,705.59",0,0,1366,2102.83,932,872.15,"2,673","4,887.24","8,820","12,468.12"
Bongaigaon,68,0,0.00,91,254.60,302,"2,769.30",0,0,889,1357.9,"1,810","1,229.62","3,092","5,611.42","11,431","22,315.50"
Cachar,172,0,0.00,582,556.65,889,"4,395.97",1,0.04,227,304.81,"11,522","6,861.87","13,221","12,119.34","30,470","40,161.95"
Charaideo,36,0,0.00,55,88.18,127,"1,007.72",0,0,197,333.53,612,387.88,991,"1,817.31","4,254","4,944.03"
Chirang,36,0,0.00,55,76.39,111,943.75,1,3.29,849,1302.15,702,538.86,"1,718","2,864.44","6,128","10,114.97"
Darrang,70,0,0.00,151,202.82,508,"3,573.80",0,0,670,961.39,"2,039","1,826.56","3,368","6,564.57","14,815","28,294.19"
Dhemaji,51,0,0.00,87,99.66,333,"3,061.52",0,0,1031,1744.07,616,818.14,"2,067","5,723.39","8,767","17,206.96"
Dhubri,90,0,0.00,92,133.15,544,"3,432.42",0,0,3348,4725.12,"3,795","3,125.74","7,779","11,416.43","18,009","25,965.68"
Dibrugarh,188,0,0.00,346,572.45,823,"5,381.65",1,25.48,387,646.85,"2,188","1,476.98","3,745","8,103.41","27,441","32,873.01"
Dima Hasao,33,0,0.00,19,20.65,38,270.35,0,0,101,136.89,-,-,158,427.89,"1,081","2,830.35"
Goalpara,73,0,0.00,78,131.17,249,"2,100.46",0,0,1965,3196.71,2207,1400.46,"4,499","6,828.80","10,466","21,212.82"
Golaghat,127,0,0.00,143,136.99,263,"1,972.32",0,0,708,1180.95,"2,643","1,685.25","3,757","4,975.51","17,817","25,078.23"
Hailakandi,47,0,0.00,35,29.13,93,827.55,0,0,71,101.98,"2,033","1,240.57","2,232","2,199.23","6,665","7,530.23"
Hojai,66,0,0.00,87,122.16,117,"1,116.68",0,0,2077,2888.44,"1,764","1,079.32","4,045","5,206.60","11,344","16,159.87"
Jorhat,143,0,0.00,307,520.55,735,"5,010.76",0,0,1448,2450.78,"2,720","1,910.18","5,210","9,892.27","17,560","25,215.62"
Kamrup Metro,183,0,0.00,767,"1,000.64","2,205","7,206.56",0,0,477,802.46,"4,503","3,316.15","7,952","12,325.81","26,922","43,837.23"
Karbi Anglong,63,0,0.00,41,51.95,169,"2,120.01",0,0.00,737,1176.42,772,658.38,"1,719","4,006.76","5,577","10,654.71"
Kokrajhar,60,0,0.00,73,81.52,322,"2,299.86",0,0,1240,1795,"1,867","1,518.96","3,502","5,695.34","13,301","23,549.38"
Lakhimpur,91,0,0.00,174,297.60,542,"4,825.14",0,0,2238,3366.96,"1,197",696.18,"4,151","9,185.88","20,134","30,220.38"
Majuli,16,0,0.00,19,22.33,80,804.08,0,0,336,566.77,42,55.32,477,"1,448.50","2,547","4,174.85"
Morigaon,70,0,0.00,85,172.27,127,"1,173.98",0,0,729,1161.9,"1,822","1,118.61","2,763","3,626.76","11,220","15,228.27"
Nagaon,157,0,0.00,157,280.37,620,"5,292.80",0,0,1998,2758.23,"4,362","2,461.36","7,137","10,792.76","34,199","51,054.54"
Nalbari,84,0,0.00,173,436.75,458,"3,975.64",0,0,625,997.34,"2,475","2,972.83","3,731","8,382.56","11,131","24,183.86"
Sivasagar,107,0,0.00,197,284.00,434,"2,325.82",0,0,521,827.36,"1,560","1,090.39","2,712","4,527.57","13,044","22,876.66"
Sonitpur,134,0,0.00,238,360.08,924,"6,398.44",0,0,490,768.94,"2,792","2,169.94","4,444","9,697.40","16,951","27,440.08"
South Salmara,16,0,0.00,15,34.02,31,156.90,0,0,468,731.9,38,93.41,552,"1,016.23",895,"1,955.12"
Tamulpur,21,0,0.00,57,64.72,78,543.11,1,0,100,149.16,155,185.90,391,942.89,"2,052","5,512.02"
Tinsukia,150,0,0.00,218,329.63,423,"3,328.15",1,6,334,516.28,"1,684",901.53,"2,660","5,081.59","16,349","26,016.22"
Udalguri,56,0,0.00,132,161.33,239,"1,621.06",0,0,321,435.7,818,495.03,"1,510","2,713.12","8,843","16,511.18"
West Karbi Anglong,21,0,0.00,6,4.88,26,259.03,0,0,498,677.3,2,0.06,532,941.27,"1,402","2,481.51"
