District,Total Branch,Current Year Self-Help Group No.,Current Year Self- Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Amt. %
Bajali,35,580,"2,888.18","2,946","9,476.82",37,86.23,66,74.36,0.78
Baksa,33,859,"4,131.65","5,030","15,104.59",61,192.89,153,125.42,0.83
Barpeta,95,"2,938","15,462.27","11,918","34,656.78",272,598.28,394,352.63,1.02
Biswanath,63,"2,207","7,466.02","8,968","27,583.36",278,821.86,130,123.62,0.45
Bongaigaon,68,"1,727","7,744.06","6,707","20,147.31",278,579.61,96,81.72,0.41
Cachar,172,"2,449","8,724.76","9,578","26,265.66",365,850.87,193,259.16,0.99
Charaideo,36,629,"2,789.28","4,662","14,034.87",66,78.08,81,61.96,0.44
Chirang,36,"1,344","4,311.04","4,212","13,291.29",202,411.50,104,73.46,0.55
Darrang,70,"2,836","12,195.45","10,428","29,510.22",348,802.71,113,102.90,0.35
Dhemaji,51,"2,451","9,398.12","8,414","26,073.93",411,871.54,139,68.09,0.26
Dhubri,90,"3,226","9,671.50","10,810","25,320.24",564,805.74,404,216.38,0.85
Dibrugarh,188,"3,487","13,845.69","10,535","35,490.19",591,"1,521.26",290,205.78,0.58
Dima Hasao,33,165,677.46,"1,439","4,055.82",103,233.43,40,87.77,2.16
Goalpara,73,"1,827","8,307.92","7,856","24,966.65",294,806.12,136,92.70,0.37
Golaghat,127,"3,150","13,451.24","12,241","43,321.33",516,"1,324.91",171,257.09,0.59
Hailakandi,47,872,"2,440.31","4,038","9,179.62",376,634.28,317,333.56,3.63
Hojai,66,"1,483","5,860.61","6,094","16,877.86",181,315.29,74,48.62,0.29
Jorhat,143,"2,216","9,559.15","9,208","29,853.15",282,646.95,89,149.16,0.50
Kamrup Metro,183,"4,209","18,331.45","14,298","47,378.84",665,"2,216.80",407,293.31,0.62
Karbi Anglong,63,737,"3,532.65","7,457","28,264.97",65,131.97,93,51.70,0.18
Kokrajhar,60,"2,289","8,301.14","6,699","19,535.85",452,835.93,136,157.23,0.80
Lakhimpur,91,"3,060","11,506.69","12,143","34,785.26",439,746.92,190,159.86,0.46
Majuli,16,463,"2,660.43","2,294","6,111.20",80,120.21,73,92.54,1.51
Morigaon,70,"1,557","6,892.11","8,189","22,132.68",192,423.00,302,206.95,0.94
Nagaon,157,"4,554","20,274.19","19,058","55,042.49",695,"1,701.53",336,304.54,0.55
Nalbari,84,"2,220","11,681.29","9,256","31,384.04",235,666.30,169,139.53,0.44
Sivasagar,107,"1,622","6,491.81","6,996","20,498.26",197,315.15,115,126.77,0.62
Sonitpur,134,"3,086","13,761.49","10,939","33,350.65",405,"1,051.88",323,259.23,0.78
South Salmara,16,258,727.85,"1,198","2,817.02",54,87.85,141,48.40,1.72
Tamulpur,21,838,"3,878.76","3,744","11,484.48",115,360.32,25,35.44,0.31
Tinsukia,150,"2,277","10,444.40","9,140","31,613.99",278,618.78,215,185.77,0.59
Udalguri,56,"2,042","8,490.02","6,606","20,381.88",438,"1,056.92",135,220.64,1.08
West Karbi Anglong,21,296,"1,273.40","2,831","9,268.88",35,56.94,72,56.74,0.61
