district,Total Branch,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Bajali,34,"7,941","9,086.44","11,629","13,300.12",9,34.10,354,831.31,"19,933","23,251.97"
Baksa,33,"9,004","7,629.57","7,358","12,513.49",2,7.17,477,"1,501.43","16,841","21,651.66"
Barpeta,95,"36,414","37,675.02","26,727","37,038.23",13,840.02,"2,841","9,429.12","65,995","84,982.39"
Biswanath,63,"22,821","22,469.30","16,134","19,821.42",9,"1,240.39","1,551","11,435.42","40,515","54,966.53"
Bongaigaon,68,"16,189","20,100.55","17,542","18,099.28",2,5.69,"2,160","6,322.84","35,893","44,528.36"
Cachar,1 72,"45,754","31,729.64","34,358","29,209.80",27,"3,361.61","5,340","16,463.91","85,479","80,764.96"
Charaideo,36,"11,058","9,050.41","10,004","12,801.15",4,2.90,724,"4,262.84","21,790","26,117.30"
Chirang,36,"11,464","10,333.88","7,450","9,159.10",3,12.87,"1,137","1,964.98","20,054","21,470.83"
Darrang,70,"26,031","25,714.56","30,159","30,256.31",15,444.70,"2,480","14,006.46","58,685","70,422.03"
Dhemaji,51,"23,923","21,155.77","13,086","19,005.86",12,91.99,"1,904","5,902.82","38,925","46,156.44"
Dhubri,90,"28,954","23,221.29","19,661","19,790.00",5,24.31,"3,650","10,395.13","52,270","53,430.73"
Dibrugarh,1 88,"56,253","50,941.30","32,380","32,468.70",25,"6,443.74","4,074","46,198.24","92,732","1,36,051.98"
Dima Hasao,33,"1,365",654.73,"2,005","4,666.16",0,0,287,739.53,"3,657","6,060.42"
Goalpara,73,"24,039","21,690.30","13,472","17,273.54",14,21.78,"1,683","5,613.19","39,208","44,598.81"
Golaghat,1 27,"50,497","40,544.83","30,141","37,180.05",22,670.40,"3,330","23,401.20","83,990","1,01,796.48"
Hailakandi,47,"16,604","10,083.04","7,140","7,547.50",6,827.83,"2,085","2,862.79","25,835","21,321.16"
Hojai,66,"20,929","17,838.47","11,456","13,586.43",18,355.63,"2,206","6,135.02","34,609","37,915.55"
Jorhat,1 43,"39,389","26,196.45","25,976","30,799.25",44,"2,513.00","3,264","41,563.72","68,673","1,01,072.42"
Kamrup,1 83,"58,321","52,217.14","60,459","48,637.89",45,"1,994.73","4,526","20,737.25","1,23,351","1,23,587.01"
Kamrup Metro,4 75,"10,111","16,635.71","31,308","1,48,390.60",92,"9,794.20","2,055","99,023.33","43,566","2,73,843.84"
Karbi Anglong,63,"28,113","18,124.92","14,205","31,591.59",1,1.64,294,852.21,"42,613","50,570.36"
Kokrajhar,60,"23,728","24,582.95","17,443","16,394.63",19,116.45,"2,738","7,537.30","43,928","48,631.33"
Lakhimpur,91,"55,071","44,701.45","25,875","29,447.97",75,47.46,"2,975","9,548.74","83,996","83,745.62"
Majuli,16,"6,690","5,426.70","4,643","4,159.37",3,3.41,328,800.96,"11,664","10,390.44"
Morigaon,70,"36,796","27,521.94","17,697","22,843.07",8,85.34,"1,479","3,115.59","55,980","53,565.94"
Nagaon,1 57,"70,484","56,146.04","48,576","49,772.53",38,552.08,"5,158","16,503.09","1,24,256","1,22,973.74"
Nalbari,84,"24,454","22,172.40","23,272","25,422.49",12,57.59,"2,209","8,883.67","49,947","56,536.15"
Sivasagar,1 07,"24,051","17,247.63","23,342","24,000.41",14,363.49,"2,601","15,472.97","50,008","57,084.50"
Sonitpur,1 34,"23,878","24,307.75","35,341","32,535.65",25,186.27,"3,008","17,997.18","62,252","75,026.85"
South Salmara,16,"2,281","1,289.82",832,"1,663.30",1,25.33,190,713.40,"3,304","3,691.85"
Sribhumi,96,"21,102","14,993.92","18,340","15,249.92",9,22.54,"2,461","4,858.92","41,912","35,125.30"
Tamulpur,21,"5,239","5,460.84","5,831","9,898.06",0,0,360,722.26,"11,430","16,081.16"
Tinsukia,1 50,"37,138","36,277.88","21,207","31,306.94",36,"1,838.65","2,620","39,139.08","61,001","1,08,562.55"
Udalguri,56,"28,024","21,519.63","16,974","16,630.61",-,-,"1,607","3,886.99","46,605","42,037.23"
West Karbi Anglong,21,"10,060","5,610.25","3,933","9,787.73",1,0,78,164.34,"14,072","15,562.32"
