District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Total Non Prio Sec NPA No.,Total Non Prio Sec NPA Amt
Bajali,34,254,382.57,0,0.00,4,1.42,105,118.14,2494,840.34,2857,1342.47
Baksa,33,826,505.91,0,0.00,8,97.22,167,169.27,1297,1065.64,2298,1838.04
Barpeta,95,4672,2847.98,0,0.00,28,157.62,557,607.36,12861,4836.21,18118,8449.17
Biswanath,63,4199,1998.44,0,0.00,4,0.64,157,112.67,3701,961.89,8061,3073.64
Bongaigaon,68,329,585.28,0,0.00,15,155.36,311,618.61,3999,2420.30,4654,3779.55
Cachar,172,1826,1236.70,0,0.00,22,371.59,533,793.86,15861,7137.44,18242,9539.59
Charaideo,36,366,343.05,0,0.00,1,11.1,60,82.35,863,381.69,1290,818.19
Chirang,36,3795,1958.56,0,0.00,0,0,91,106.55,1651,468.11,5537,2533.22
Darrang,70,1908,1142.74,0,0.00,7,78.85,426,367.35,9037,3042.73,11378,4631.67
Dhemaji,51,1141,601.91,0,0.00,5,10.88,195,246.18,2066,1209.93,3407,2068.90
Dhubri,90,5750,2580.27,0,0.00,5,25.82,437,455.02,12327,3224.51,18519,6285.62
Dibrugarh,188,2993,1647.14,1,15.09,23,339.41,705,1564.78,7407,6405.02,11129,9971.44
Dima Hasao,33,0,0.00,0,0.00,0,0,77,118.41,249,316.70,326,435.11
Goalpara,73,3926,2119.17,0,0.00,5,24.99,220,303.01,5104,2792.44,9255,5239.61
Golaghat,127,87,82.69,0,0.00,12,131.42,324,323.66,6034,2517.12,6457,3054.89
Hailakandi,47,284,152.07,0,0.00,6,10.03,196,250.76,2550,1620.01,3036,2032.87
Hojai,66,1485,861.05,0,0.00,2,0.44,240,234.35,5236,1534.39,6963,2630.23
Jorhat,143,758,492.21,1,36.11,45,591.13,554,627.30,5716,4330.06,7074,6076.81
Kamrup Metro,183,2534,1866.05,1,29.40,66,911.05,547,681.68,14508,11599.38,17656,15087.56
Karbi Anglong,63,949,638.83,0,0.00,0,0.00,268,308.33,1262,821.59,2479,1768.75
Kokrajhar,60,8223,4915.60,0,0.00,5,97.08,232,239.15,2319,1897.64,10779,7149.47
Lakhimpur,91,2221,1204.52,0,0.00,14,226.99,367,516.23,7878,3334.73,10480,5282.47
Majuli,16,1673,1093.25,0,0.00,1,2.03,38,31.78,218,174.31,1930,1301.37
Morigaon,70,884,552.37,0,0.00,10,30.13,283,553.49,4197,2384.75,5374,3520.74
Nagaon,157,1409,833.28,1,1.66,38,466.54,508,867.22,15937,7800.27,17893,9968.97
Nalbari,84,2485,1254.49,0,0.00,24,215.91,435,540.39,8122,3924.74,11066,5935.53
Sivasagar,107,1665,1247.37,0,0.00,12,149.72,404,574.34,4834,3367.17,6915,5338.60
Sonitpur,134,4844,3782.78,0,0.00,18,287.65,499,911.35,7596,4659.79,12957,9641.57
South Salmara,16,2094,1259.18,0,0.00,1,0.2,79,68.26,410,388.01,2584,1715.65
Tamulpur,21,1106,689.23,0,0.00,0,0,84,111.51,1562,362.62,2752,1163.36
Tinsukia,150,1221,807.68,0,0.00,12,96.99,488,633.04,6659,4618.51,8380,6156.22
Udalguri,56,10592,7195.23,0,0.00,11,166.13,133,140.25,1911,1044.05,12647,8545.66
West Karbi Anglong,21,0,0.00,0,0.00,0,0,31,36.72,284,95.42,315,132.14
