District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card activated
Bajali,35,1157,1757.18,12387,11975.77,6867,3014,11,9.92,169,210.63,32,330,9,10.01,41,112.29,20,20
Baksa,33,540,664.72,9285,7535.49,5345,3644,12,10.55,81,114.96,17,265,7,34.66,36,46.13,17,14
Barpeta,95,1860,4504.53,36361,37831.47,21475,10512,24,19.39,556,403.08,13,39,20,72.65,151,166.79,21,18
Biswanath,63,1408,1327.04,18944,16037.47,9268,6633,8,8.16,164,170.90,24,548,2,1.71,37,75.36,4,4
Bongaigaon,68,1197,3058.19,16184,18476.39,11438,6552,7,3.68,94,56.16,15,44,5,3.6,25,56.89,6,4
Cachar,172,1725,2131.59,43297,25481.25,14118,7876,5,5.25,159,155.69,8,91,42,21.02,374,449.96,64,64
Charaideo,36,587,614.68,10256,7254.28,4890,4735,12,5.35,172,175.86,12,427,2,2.7,16,9.59,2,2
Chirang,36,620,1017.41,11113,9011.58,4624,2819,1,0.04,38,56.16,3,246,2,0.08,12,7.37,2,2
Darrang,70,2102,4312.15,28313,29305.45,17612,7980,10,6.62,382,412.72,33,64,80,47.00,378,622.97,27,25
Dhemaji,51,1334,1739.03,22183,19356.49,9613,6267,10,16.03,415,433.94,27,88,7,18.31,72,87.56,11,11
Dhubri,90,1624,1680.89,26297,19339.91,9312,6104,4,2.80,188,211.65,20,202,10,4.69,31,25.57,1,1
Dibrugarh,188,4077,7719.42,55503,47081.00,34561,15567,27,58.64,208,298.81,34,252,25,21.57,46,60.90,4,4
Dima Hasao,33,46,96.63,1451,623.43,188,112,7,4.26,103,81.68,43,437,1,0.01,22,10.80,6,6
Goalpara,73,1470,2046.70,23189,18663.89,13437,8801,11,8.07,199,164.73,15,249,1,0.5,27,18.45,6,4
Golaghat,127,2052,3131.18,46619,32857.39,22442,9622,30,18.37,256,214.13,31,250,2,1.40,30,18.08,3,3
Hailakandi,47,683,726.35,15693,7669.67,7177,4775,31,41.69,193,212.54,7,153,5,3.95,39,34.37,3,
Hojai,66,775,1224.96,18448,13355.91,6460,3510,3,3.51,103,62.53,3,578,2,0.44,47,32.42,,
Jorhat,143,2809,3392.87,37638,22139.67,19816,6990,30,33.38,261,262.34,104,379,8,27.41,60,67.27,10,7
Kamrup Metro,183,2759,3653.43,52735,42920.67,32253,12600,27,22.16,223,224.18,41,588,56,70.38,87,217.25,12,13
Karbi Anglong,63,846,943.45,28718,18731.22,6752,2964,13,14.27,218,204.72,8,274,14,11.02,120,111.69,5,5
Kokrajhar,60,1599,2309.87,23845,23078.32,11018,9073,4,4.31,190,203.45,33,335,6,4.35,46,40.05,8,8
Lakhimpur,91,3620,6176.19,47440,41119.92,19276,15245,30,24.71,256,273.47,25,588,9,11.67,56,81.04,1,1
Majuli,16,254,231.70,5705,3007.94,1781,1285,0,,20,13.96,,271,6,0.06,99,30.60,1,1
Morigaon,70,1823,2405.58,34544,26003.18,14405,10622,58,73.42,489,537.39,168,337,55,39.24,350,518.89,83,83
Nagaon,157,5628,9560.76,72756,58965.70,35160,17274,38,34.44,478,491.74,206,694,100,101.17,378,435.23,135,123
Nalbari,84,1415,2315.68,25718,21206.56,13779,6973,33,19.66,605,495.80,104,576,21,29.93,112,89.74,22,17
Sivasagar,107,1683,2519.67,24565,16040.99,10210,5518,65,55.68,538,488.75,49,556,7,1.53,193,144.97,78,78
Sonitpur,134,1653,2966.33,24053,24646.09,14857,6476,15,17.70,288,373.20,72,726,4,3.22,60,83.50,13,12
South Salmara,16,6,5.38,2010,924.78,316,296,,,8,12.23,,275,2,2.52,28,35.10,,
Tamulpur,21,219,611.94,5691,6180.81,2707,1234,2,0.56,24,53.07,0,303,7,4.22,13,13.00,2,2
Tinsukia,150,2900,7202.92,38390,36379.31,24206,12228,33,49.95,354,428.58,76,890,29,32.27,72,126.98,3,5
Udalguri,56,1103,1990.56,28907,21172.66,15132,10072,3,10.33,133,144.46,35,538,14,27.23,31,106.57,1,1
West Karbi Anglong,21,464,339.03,10074,5369.71,706,291,12,7.67,48,47.85,0,441,1,0.58,5,3.23,0,0
