district,Apex,AGVB,AXIS,Bandhan,BOB,BOI,BOM,Canara,CBI,Federal,HDFC,ICICI,Indian,IOB,Indusind,IDBI,Karnataka,KMB,PSB,PNB,SIB,SBI,UCO,Union,YES,TOTAL
Bajali,1,19,0,0,3,3,0,6,3,0,0,0,3,3,0,0,0,0,0,6,0,16,6,9,0,78
Baksa,0,41,0,0,0,3,0,9,9,0,0,0,3,0,0,0,0,0,0,9,0,22,19,3,0,118
Barpeta,4,57,0,3,3,6,0,19,9,0,5,2,9,10,0,4,0,0,0,27,0,65,26,37,0,286
Biswanath,3,31,3,0,0,6,0,6,6,0,3,1,12,0,0,3,0,0,0,12,0,19,12,2,0,119
Bongaigaon,1,22,0,0,6,6,3,6,12,3,3,0,6,6,0,6,0,0,0,20,0,25,12,9,0,146
Cachar,4,63,3,0,8,16,0,12,19,1,0,3,12,6,2,4,0,0,6,54,0,66,21,12,0,314
Charaideo,0,21,0,0,1,0,0,6,0,0,0,1,0,2,0,0,0,0,0,6,0,19,6,2,0,64
Chirang,0,22,0,0,0,0,0,6,9,0,3,0,6,0,0,0,0,0,0,6,0,11,10,0,0,73
Darrang,3,44,3,0,3,6,0,12,16,0,3,0,9,0,0,3,0,0,0,17,0,22,12,9,0,162
Dhemaji,4,29,0,0,0,3,0,6,6,0,2,1,16,0,0,9,0,0,0,12,0,29,12,0,0,132
Dhubri,3,48,0,3,0,3,0,10,9,0,3,0,16,0,0,3,0,0,6,27,0,69,31,16,0,247
Dibrugarh,5,54,3,3,8,6,6,17,16,3,4,3,25,11,3,7,0,6,4,26,0,59,12,12,3,296
Dima Hasao,3,12,0,0,3,6,0,3,3,0,3,0,0,0,0,0,0,0,0,6,0,12,0,0,0,51
Goalpara,1,40,0,0,0,6,0,6,22,0,3,0,6,0,0,3,0,0,0,16,0,41,28,9,0,184
Golaghat,3,51,0,0,6,6,0,9,10,0,3,3,24,6,3,6,0,0,0,25,0,39,6,9,0,209
Hailakandi,3,25,0,0,3,6,0,8,9,0,0,0,6,0,0,0,0,0,0,16,0,29,6,12,0,123
Hojai,3,26,0,2,0,2,0,9,9,0,3,0,9,0,0,3,0,0,0,37,0,40,12,9,0,164
Jorhat,3,22,3,3,9,3,6,12,9,3,3,0,9,6,0,3,0,3,6,23,0,40,12,12,3,193
Kamrup Metro,3,51,0,3,9,9,2,21,34,0,3,0,20,20,3,6,0,0,6,28,0,63,19,12,0,315
Karbi Anglong,3,40,0,0,4,4,0,6,8,0,0,0,0,0,0,2,0,0,0,5,0,25,6,0,0,103
Kokrajhar,3,29,0,0,6,6,0,6,9,0,3,0,9,0,0,3,0,0,0,9,0,38,27,6,0,154
Lakhimpur,3,44,0,0,6,6,0,6,6,0,3,0,26,6,0,6,0,0,0,32,0,32,6,6,0,191
Majuli,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,9,6,0,0,36
Morigaon,3,35,0,0,6,6,0,12,6,0,3,0,6,6,0,0,0,0,0,32,0,25,9,12,0,161
Nagaon,9,120,3,0,9,12,3,22,23,0,3,2,20,9,0,5,0,0,3,68,0,100,9,10,0,430
Nalbari,3,31,0,0,8,9,0,6,17,0,3,0,6,6,0,3,0,0,0,16,0,28,12,6,0,154
Sivasagar,2,29,0,0,6,9,3,13,6,0,3,0,12,7,0,9,0,0,0,19,0,32,9,6,2,167
Sonitpur,3,38,2,3,7,6,3,9,12,0,3,3,12,6,0,6,0,0,3,23,0,44,20,6,3,212
South Salmara,0,26,2,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,2,0,32,30,0,0,102
Tamulpur,1,20,0,0,0,3,0,3,3,0,0,0,3,0,0,0,0,0,0,3,0,13,6,3,0,58
Tinsukia,3,48,0,0,9,9,3,14,12,3,3,3,16,7,3,20,0,0,3,42,0,42,12,23,3,281
Udalguri,4,34,2,0,0,6,0,6,16,0,2,2,0,0,0,2,0,0,0,6,0,24,17,6,0,127
West Karbi Anglong,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,40
