District,Total Branch,No. Of New Crop kcc issued during quarter,New Crop KCC Amount disbursed during quarter (Rs. in Lakhs),No. of Crop KCC Renewed During the quarter,Crops KCC Renewed Amount During the quarter (Rs. in Lakhs),Out of total no. of Active Crops KCC (Since Inception),Crops Kcc Total Active Amount(Rs. in Lakhs),Crops KCC NPA No at the end of current quarter,Crops KCC NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for animal husbandary issued during quarter,KCC for Animal Husbandry Amount disbursed during quarter (Rs. in Lakhs),No Renewal KCC for animal husbandary as on end of current quarter,KCC for animal husbandary Outstanding Renewal amount. as on end of current quarter (Rs. in Lakhs),KCC for Animal Husbandry Total no. of Active KCC for animal husbandary (Since Inception),KCC for Animal Husbandry Total Active Amount(Rs. in Lakhs),KCC for Animal Husbandry NPA No at the end of current quarter,KCC for Animal Husbandry NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for fishries issued during quarter,KCC for Fishries New KCC Amount disbursed during quarter (Rs. in Lakhs),Total no. of KCC for fishries as on end of current quarter,KCC for Fishries No. of KCC Renewed During the quarter Amount (Rs. in Lakhs),KCC for Fishries Total no. of Active KCC for fishries (Since Inception),KCC for Fishries Total Active Amount(Rs. in Lakhs),KCC for Fisheries NPA No at the end of current quarter,KCC for Fisheries NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs)
Bajali,35,179,233.62,"1,561","1,557.74","7,373","8,772","3,459","2,158.43",9,10.48,1,0.04,176,153.49,1,0.38,0,3.76,1,0.25,31,97.41,8,28.15
Baksa,33,70,48.99,392,311.58,"7,064","5,699","3,085","1,654.98",3,3.20,8,5.88,42,41.48,6,5.12,0,3.2,10,34.47,26,56.77,0,0
Barpeta,95,341,544.72,1366,"2,010.08",28659,28285.26,"17,970","12,278.50",18,22.52,21,11.08,573,482.49,360,246.07,0,13.28,26,75.83,63,862.31,11,7.47
Biswanath,63,714,830.28,"1,497","1,060.34","16,325","14,999","6,515","4,487.45",1,0.55,8,5.87,127,129.29,44,49.77,0,0,0,0,13,24.94,1,0.35
Bongaigaon,68,508,"1,200.70",653,"1,255.84","14,205","17,623",5866,3712.42,7,3.68,14,25.63,95,66.19,17,10.56,0,1.63,4,0.89,14,12.79,4,3.36
Cachar,172,447,237.04,"1,761","1,820.54","41,648","27,511",23922,12856.36,8,17.51,34,14.97,135,103.46,18,19.54,0,6.44,3,0,298,263.83,41,50.24
Charaideo,36,231,265.06,381,321.19,"10,075","8,080",1675,1103.42,8,5.15,0,0,132,123.47,24,18.73,0,1.5,0,0,10,5.99,0,0
Chirang,36,244,212.61,929,890.74,"9,955","8,661",5777,3190.46,1,0.01,1,1.03,19,42.07,5,4.84,0,0,1,0.89,10,6.19,1,0.89
Darrang,70,454,882.35,1277,"1,890.56","20,339","20,926",11433,7579.05,10,8.84,16,8.65,272,264.56,239,274.31,0,15.8,9,22.6,182,178.77,29,31.17
Dhemaji,51,360,451.04,"1,042",876.17,"19,343","16,463","10,783","7,757.32",10,8.57,0,0,565,642.97,28,30.01,0,0.5,7,3.84,84,99.24,10,8.61
