District,Total Branch,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bajali,35,"1,52,022",51427,"83,771","1,19,652","2,03,423","30,332","7,234","1,00,997","32,472","1,12,397"
Baksa,33,"3,15,533",-,"1,16,571","1,98,900","3,15,471","34,193","8,221","1,52,966","49,744","1,75,615"
Barpeta,95,"11,53,370","3,72,289","7,08,398","9,04,057","16,12,455","2,12,265","34,159","8,62,486","2,49,931","7,93,441"
Biswanath,63,"4,69,440","55,319","2,07,971","3,17,095","5,25,066","74,437","18,830","2,64,504","86,398","2,46,465"
Bongaigaon,68,"3,10,872","1,74,279","2,32,034","3,27,785","5,59,819","71,535","16,422","3,50,681","1,09,966","2,84,767"
Cachar,172,"9,41,306","2,05,055","4,91,036","6,64,256","11,55,292","1,40,843","39,295","7,77,754","3,20,632","5,98,160"
Charaideo,36,"3,09,011","48,352","1,35,100","1,86,419","3,21,519","39,605","9,682","1,97,218","73,909","1,55,026"
Chirang,36,"3,50,969","28,358","1,39,921","2,37,610","3,77,531","28,956","10,798","2,24,342","61,826","1,59,481"
Darrang,70,"7,54,794","2,73,437","4,40,169","5,74,611","10,14,780","1,43,018","19,976","5,19,377","1,81,203","4,92,813"
Dhemaji,51,"6,07,439","1,83,257","3,31,597","4,95,674","8,27,271","1,33,827","16,256","4,87,848","1,07,927","2,88,263"
Dhubri,90,"15,63,416","3,81,354","8,40,478","10,22,297","18,62,775","2,98,494","30,795","9,89,115","3,34,836","9,52,166"
Dibrugarh,188,"5,32,604","1,89,886","2,79,917","5,85,013","8,64,930","1,67,838","31,458","5,04,869","1,86,839","3,65,649"
Dima Hasao,33,"55,811","8,098","30,564","37,951","68,515","7,394","4,335","35,213","15,936","33,277"
Goalpara,73,"6,31,360","2,95,041","3,91,116","5,03,102","8,94,218","1,03,608","18,112","4,85,357","1,58,306","4,98,211"
Golaghat,127,"5,88,836","1,88,689","3,17,183","4,89,933","8,07,116","1,22,433","24,520","5,06,460","1,97,503","4,19,802"
Hailakandi,47,"3,98,739","1,73,080","2,50,633","3,37,268","5,87,901","79,213","16,330","3,21,475","1,17,727","3,01,848"
Hojai,66,"4,08,772","3,28,817","3,03,167","4,37,877","7,41,044","86,336","19,670","6,19,828","2,10,765","4,10,270"
Jorhat,143,"3,18,635","2,20,076","2,02,698","3,44,148","5,46,846","98,406","16,692","3,76,372","1,40,842","2,82,440"
Kamrup Metro,183,"10,33,742","1,31,404","4,77,776","6,71,199","11,48,975","1,53,924","33,579","7,43,311","3,00,949","5,42,236"
Karbi Anglong,63,"2,33,967","46,115","1,25,074","1,83,655","3,08,729","37,006","10,256","1,01,312","38,702","1,51,104"
Kokrajhar,60,"6,46,605","97,205","3,36,941","4,20,593","7,57,534","86,617","21,861","3,65,354","86,591","3,28,758"
Lakhimpur,91,"6,12,015","1,94,346","3,45,875","4,96,468","8,42,343","1,16,197","21,834","5,80,959","1,62,185","3,84,340"
Majuli,16,"1,26,998","34,042","64,528","82,126","1,46,654","20,102","2,967","1,04,913","42,784","76,910"
Morigaon,70,"7,69,089","1,64,784","3,77,787","5,49,665","9,27,452","1,66,506","16,995","6,72,024","2,63,016","5,11,178"
Nagaon,157,"14,45,108","6,24,179","8,80,122","11,91,017","20,71,139","3,41,613","41,401","11,86,616","3,63,499","10,96,187"
Nalbari,84,"4,58,777","72,712","2,31,199","3,04,434","5,35,633","67,868","16,709","2,32,903","76,733","2,91,218"
Sivasagar,107,"2,73,402","79,940","1,47,348","2,58,623","4,05,971","65,886","14,078","3,06,922","1,20,815","2,52,333"
Sonitpur,134,"5,81,601","2,68,231","3,76,146","4,85,143","8,61,289","1,06,076","29,091","4,53,222","1,64,856","3,70,236"
South Salmara,16,"2,65,945","58,837","1,14,380","1,61,401","2,75,781","33,333","3,087","99,687","6,217","86,402"
Tamulpur,21,"2,77,866",-,"1,09,969","1,67,769","2,77,738","24,331","8,909","1,68,268","49,334","1,41,376"
Tinsukia,150,"4,54,272","3,72,952","3,06,825","5,10,486","8,17,311","1,11,256","30,030","5,21,460","1,92,438","3,59,234"
Udalguri,56,"6,90,961","1,20,137","3,31,555","4,19,753","7,51,308","86,144","21,032","3,53,661","85,734","3,03,876"
West Karbi Anglong,21,"1,36,960",0,"57,238","79,714","1,36,952","18,627","4,107","48,573","16,769","67,657"
