District,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Pct
Bajali,35,0,0.00,0,0.00,0,6,9.15,61,6,9.15,61,6,9.15,201,534.33,9,4.86,0.91
Baksa,33,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,73,193.63,15,9.08,4.69
Barpeta,95,1,1.50,0,0.00,0,4,12.50,24,5,16.50,25,5,14.00,1217,3119.72,197,57.27,1.84
Biswanath,63,0,0.00,0,0.00,0,5,16.08,166,6,16.48,166,5,16.08,105,255.67,2,0.37,0.14
Bongaigaon,68,0,0.00,1,2.00,1,6,0.00,30,3,6.00,33,7,2.00,115,198.93,22,13.23,6.65
Cachar,172,2,1.60,0,0.00,0,2,4.50,53,1,1.50,52,4,6.10,528,956.45,61,29.65,3.10
Charaideo,36,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,24,27.99,5,4.37,15.61
Chirang,36,0,0.00,0,0.00,0,0,0.00,0,1,0.30,0,0,0.00,99,145.24,6,3.48,2.40
Darrang,70,0,0.00,0,0.00,0,1,3.00,10,1,3.00,10,1,3.00,366,710.62,29,21.73,3.06
Dhemaji,51,0,0.00,0,0.00,0,1,2.00,20,1,2.00,20,1,2.00,225,544.57,42,60.93,11.19
Dhubri,90,0,0.00,0,0.00,0,10,21.21,81,10,21.21,81,10,21.21,489,511.98,184,119.17,23.28
Dibrugarh,188,1,0.00,0,0.00,0,70,87.73,929,62,87.73,921,71,87.73,741,1879.94,105,104.43,5.55
Dima Hasao,33,0,0.00,3,12.00,3,3,12.00,3,3,12.00,3,6,24.00,80,138.35,18,20.08,14.51
Goalpara,73,0,0.00,0,0.00,0,0,0.00,0,1,3.00,1,0,0.00,171,199.02,99,82.26,41.33
Golaghat,127,0,0.00,0,0.00,0,5,13.30,23,2,4.30,20,5,13.30,227,558.06,20,9.00,1.61
Hailakandi,47,0,0.00,0,0.00,0,19,29.80,180,16,21.69,176,19,29.80,402,585.78,77,48.92,8.35
Hojai,66,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,363,868.97,62,32.35,3.72
Jorhat,143,0,0.00,0,0.00,0,0,0.00,0,2,8.00,2,0,0.00,885,2411.31,22,15.90,0.66
Kamrup Metro,183,2,0.06,1,0.05,5,6,22.6,36,4,13.61,34,9,22.72,346,925.31,27,26.92,2.91
Karbi Anglong,63,0,0.00,0,0.00,0,1,3.00,10,1,3.00,10,1,3.00,58,138.57,0,0.00,0.00
Kokrajhar,60,15,33.78,0,0.00,0,1,2.00,21,1,2.00,21,16,35.78,94,185.26,8,11.95,6.45
Lakhimpur,91,1,3.00,0,0.00,0,3,9.00,24,1,2.00,23,4,12.00,452,696.41,153,65.82,9.45
Majuli,16,0,0.00,0,0.00,0,1,4.00,1,0,0.00,0,1,4.00,25,27.49,14,6.49,23.61
Morigaon,70,0,0.00,1,0.50,5,1,3.00,1,0,0.00,0,2,3.50,616,754.35,362,221.92,29.42
Nagaon,157,1,0.62,0,0.00,0,1,4.00,14,2,9.00,15,2,4.62,862,2328.36,29,22.39,0.96
Nalbari,84,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,210,557.38,13,10.00,1.79
Sivasagar,107,1,0.06,8,27.72,40,3,9.30,101,2,5.30,100,12,37.08,240,529.18,28,27.20,5.14
Sonitpur,134,0,0.00,0,0.00,0,21,106.62,420,23,110.68,421,21,106.62,470,1355.35,10,10.66,0.79
South Salmara,16,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,9.83,0,0.00,0.00
Tamulpur,21,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,7,12.24,0,0.00,0.00
Tinsukia,150,1,5.00,2,11.00,10,8,36.91,94,8,36.91,94,11,52.91,1584,4544.51,74,47.12,1.04
Udalguri,56,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,55,114.34,5,3.81,3.33
West Karbi Anglong,21,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,67,284.71,0,0.00,0.00
