District,Total Branch,BHIM/UPI A/C,BHIM/UPI Amt,BHIM Aadhaar A/C,BHIM Aadhaar Amt,Bharat QR Code A/C,Bharat QR Code Amt,IMPS A/C,IMPS Amt,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt,USSD A/C,USSD Amt
Bajali,35,17260282,237647.34,844,77.15,2038,349.54,184211,476832.94,172965,6648.80,58735,1580.86
Baksa,33,16664350,196084.38,477,2116.75,61,7.62,156964,11007.39,122876,4965.92,33163,851.03
Barpeta,95,74701481,1124358.65,3765,21781.50,6345,1051.40,899925,1596142.72,354786,15843.89,100014,2853.34
Biswanath,63,34772716,365531.11,324,3443.25,3026,335.95,478357,637049.82,328410,13082.37,58896,1537.19
Bongaigaon,68,38817070,583411.96,755,6102.47,9145,1023.68,419427,1718996.95,368010,16738.85,105710,2895.25
Cachar,172,86285386,1195761.26,1481,8018.72,54604,1888.42,969742,1658742.75,954238,44892.80,248833,6471.24
Charaideo,36,19580584,194018.36,192,1245.24,1064,146.93,361037,251092.76,167292,6693.75,27183,859.01
Chirang,36,18673442,254104.95,432,1781.47,1826,245.43,138099,393623.52,98903,4558.27,79958,2092.52
Darrang,70,42200971,640915.71,1702,10669.91,7371,1126.95,517459,1844494.90,331858,14711.28,51024,1526.05
Dhemaji,51,44867903,461849.25,835,10281.95,3078,540.82,351268,675157.34,224960,9477.83,51294,1393.00
Dhubri,90,68160845,983110.95,2351,23143.47,5471,632.45,1151730,1298677.26,318035,14168.88,68359,2312.52
Dibrugarh,188,91247349,1457838.69,2010,3159.01,21368,858.81,1120325,1171790.91,1491243,60225.47,333416,8154.10
Dima Hasao,33,15149552,184716.00,73,226.19,981,133.56,122233,224690.33,111552,4602.59,16608,640.25
Goalpara,73,43596558,731401.64,1648,23094.27,5285,518.09,697472,1405581.08,240315,12238.06,45872,1419.30
Golaghat,127,67669492,735380.94,1372,8848.41,11974,659.77,870273,653560.57,768259,27910.66,143188,3663.38
Hailakandi,47,28655617,361468.64,1103,3816.60,1232,154.94,329576,205851.39,178434,7855.97,27568,820.96
Hojai,66,58891131,760993.86,1045,1409.02,5945,704.95,526214,830362.73,405927,18001.42,47688,1386.93
Jorhat,143,64079913,1286169.02,2726,1265.08,39642,1605.21,793839,731696.56,1042047,38867.35,336882,7852.00
Kamrup Metro,183,83918414,1188002.71,2517,21278.28,15294,1656.95,591863,2092967.56,813915,35510.57,185510,5848.27
Karbi Anglong,63,36870163,393548.21,403,5403.33,1607,112.70,296270,222238.11,190730,8100.63,64640,1714.51
Kokrajhar,60,34182337,473977.77,1074,7339.55,4143,472.37,232424,1300055.69,143608,6260.21,90880,3048.41
Lakhimpur,91,67058235,707437.29,1164,13376.34,6338,535.25,884025,1077348.12,438815,17467.77,72261,2033.40
Majuli,16,8678604,77852.62,78,418.64,1114,101.68,96474,107129.49,95654,4388.46,9081,241.57
Morigaon,70,38864625,557780.91,1800,10129.61,3009,708.61,525615,449335.65,343779,16600.02,46466,1200.63
Nagaon,157,90417202,1279459.33,4209,32986.03,19728,977.24,1187284,1249287.60,697935,32075.13,168559,4969.10
Nalbari,84,35224699,467131.59,966,7843.70,4493,659.96,268611,435747.67,260711,12309.89,100258,2678.16
Sivasagar,107,54884578,580197.96,735,1937.35,74397,1018.66,677412,382103.01,625188,23541.28,191361,5089.68
Sonitpur,134,66627074,846003.55,1175,6539.97,43548,1498.80,724448,1473509.29,598152,25338.57,343478,7285.80
South Salmara,16,8051080,172912.57,785,15491.37,1953,306.37,35560,512793.70,13726,835.37,2815,160.10
Tamulpur,21,14147097,162014.29,235,2529.28,1582,139.29,75396,120586.96,57583,2606.21,32740,834.93
Tinsukia,150,67486081,848054.76,6179,7300.18,32896,1246.33,829769,1143838.17,826190,35148.06,152524,3665.03
Udalguri,56,33629881,384715.86,1635,6611.39,2797,383.03,185626,395244.06,85433,4475.08,56623,1388.07
West Karbi Anglong,21,13748551,117992.11,516,590.67,0,0,103325,4053.48,37688,1447.05,14085,382.10
