District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Bajali,35,759,428.88,2350,1520.08
Baksa,33,47,57.36,666,481.18
Barpeta,95,1629,647.53,7726,2233.93
Biswanath,63,1091,449.99,3755,1280.83
Bongaigaon,68,2482,1271.52,9362,3397.21
Cachar,172,3889,1636.01,17171,4701.56
Charaideo,36,1345,489.61,5273,1551.71
Chirang,36,1074,468.26,3801,1273.18
Darrang,70,3101,1391.10,10828,3534.23
Dhemaji,51,1554,649.39,5439,1487.29
Dhubri,90,426,252.83,2417,1579.62
Dibrugarh,188,2008,736.00,6572,2251.08
Dima Hasao,33,121,259.30,679,848.55
Goalpara,73,1560,890.34,8608,2844.97
Golaghat,127,885,618.85,5701,3080.99
Hailakandi,47,47,85.60,756,557.60
Hojai,66,1455,664.81,4661,1697.73
Jorhat,143,233,509.60,2951,2801.16
Kamrup Metro,183,4930,2492.39,20691,6739.91
Karbi Anglong,63,1715,1585.87,8344,5484.50
Kokrajhar,60,1495,776.08,8262,2964.02
Lakhimpur,91,1320,552.62,5749,1929.18
Majuli,16,1202,436.55,3087,752.88
Morigaon,70,46,91.66,1045,624.10
Nagaon,157,2459,1369.62,9225,3624.69
Nalbari,84,1903,1122.70,8622,3156.36
Sivasagar,107,985,392.87,3549,1531.43
Sonitpur,134,3965,1597.09,12291,3912.23
South Salmara,16,,,66,58.25
Tamulpur,21,14,28.89,546,337.34
Tinsukia,150,2203,852.46,9273,2623.50
Udalguri,56,1263,541.38,6721,1811.64
West Karbi Anglong,21,46,118.50,976,745.70
