District,Total Branch,O/S No.,O/S Amt,CY Disb No.,CY Disb Amt
Bajali,35,"19,369","25,182.12","4,076","6,316.00"
Baksa,33,"10,306","18,015.52","1,974","4,092.36"
Barpeta,95,"61,064","79,008.80","15,007","21,297.43"
Biswanath,63,"34,000","38,197.56","7,693","10,082.25"
Bongaigaon,68,"44,190","65,805.07","11,187","15,845.93"
Cachar,172,"1,35,493","1,29,050.56","35,199","41,856.16"
Charaideo,36,"18,517","25,457.09","4,258","5,390.87"
Chirang,36,"19,137","21,186.48","4,646","5,508.43"
Darrang,70,"52,401","60,864.40","11,993","17,513.91"
Dhemaji,51,"34,274","56,406.70","7,116","12,779.20"
Dhubri,90,"54,453","51,106.60","13,332","14,934.44"
Dibrugarh,188,"99,923","1,74,761.55","28,062","43,202.83"
Dima Hasao,33,"7,331","22,105.04","1,164","4,729.17"
Goalpara,73,"39,475","44,475.64","8,433","11,284.26"
Golaghat,127,"73,853","89,377.43","17,538","23,292.57"
Hailakandi,47,"23,028","23,986.64","5,928","6,482.08"
Hojai,66,"35,402","37,032.00","9,424","11,022.13"
Jorhat,143,"78,822","1,36,676.30","19,397","31,895.09"
Kamrup Metro,183,"1,23,983","1,59,925.50","30,412","42,435.48"
Karbi Anglong,63,"34,901","68,896.49","5,573","11,836.19"
Kokrajhar,60,"41,076","53,066.87","11,224","15,976.46"
Lakhimpur,91,"67,982","99,843.61","16,191","25,634.80"
Majuli,16,"7,400","10,641.80","1,977","2,499.82"
Morigaon,70,"39,726","44,067.26","9,000","11,430.97"
Nagaon,157,"1,20,104","1,57,331.28","30,798","41,568.38"
Nalbari,84,"51,088","73,350.48","10,639","17,967.71"
Sivasagar,107,"62,030","1,04,135.70","14,648","24,813.43"
Sonitpur,134,"77,682","1,21,562.09","18,833","32,164.04"
South Salmara,16,"1,866","3,075.42",344,740.12
Tamulpur,21,"8,859","12,260.47","1,584","3,182.98"
Tinsukia,150,"62,577","1,07,234.69","15,387","24,595.75"
Udalguri,56,"28,480","39,599.96","5,561","8,100.95"
West Karbi Anglong,21,"6,910","13,191.10",752,"1,881.50"
