District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot NPS O/S No.,Tot NPS O/S Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt,NPS NPA Amt.%
Bajali,34,35,67.64,6,103.41,"1,255","10,370.40","2,630","5,502.01","21,288","56,008.64","25,214","72,052.10","2,857","1,342.47",1.86
Baksa,33,7,21.02,9,151.70,513,"4,704.35","1,708","3,811.25","10,634","31,936.01","12,871","40,624.33","2,298","1,838.04",4.52
Barpeta,95,208,597.91,27,545.69,"2,891","23,087.38","10,129","18,460.90","67,544","1,52,971.34","80,799","1,95,663.22","18,118","8,449.17",4.32
Biswanath,63,14,564.35,12,272.79,"1,231","8,646.64","3,585","6,243.02","24,467","59,099.16","29,309","74,825.96","8,061","3,073.64",4.11
Bongaigaon,68,44,87.51,20,482.31,"2,628","27,651.26","8,950","21,072.14","44,326","1,32,155.31","55,968","1,81,448.53","4,654","3,779.55",2.08
Cachar,172,28,12.94,117,742.72,"3,354","34,171.73","16,004","30,096.92","1,25,430","2,60,204.07","1,44,933","3,25,228.38","18,242","9,539.59",2.93
Charaideo,36,1,1.48,1,38.34,376,"3,259.13","1,764","2,886.66","12,020","34,892.75","14,162","41,078.36","1,290",818.19,1.99
Chirang,36,0,0.00,2,9.35,774,"5,278.01","2,027","3,236.17","14,699","49,238.42","17,502","57,761.95","5,537","2,533.22",4.39
Darrang,70,43,101.75,10,215.64,"1,938","12,172.22","6,945","11,801.50","42,909","94,439.51","51,845","1,18,730.62","11,378","4,631.67",3.90
Dhemaji,51,19,67.54,6,109.31,"2,087","10,988.74","4,859","11,195.09","29,508","89,830.55","36,479","1,12,191.23","3,407","2,068.90",1.84
Dhubri,90,56,108.72,4,111.42,"1,980","12,314.77","7,644","12,463.57","57,756","1,17,013.43","67,440","1,42,011.91","18,519","6,285.62",4.43
Dibrugarh,188,203,318.01,62,1652.49,"5,646","69,659.76","22,342","57,864.49","1,12,183","3,54,847.19","1,40,436","4,84,341.94","11,129","9,971.44",2.06
Dima Hasao,33,0,0.00,4,122.27,209,"2,052.96","3,459","13,112.65","10,295","38,338.14","13,967","53,626.02",326,435.11,0.81
Goalpara,73,12,32.21,6,91.70,"1,192","5,862.37","5,321","8,619.64","37,527","96,171.64","44,058","1,10,777.56","9,255","5,239.61",4.73
Golaghat,127,42,940.98,11,379.99,"2,889","23,280.09","8,606","19,432.80","66,554","2,24,485.17","78,102","2,68,519.03","6,457","3,054.89",1.14
Hailakandi,47,10,24.93,0,6.43,732,"4,277.08","3,132","5,659.59","18,352","45,587.96","22,226","55,555.99","3,036","2,032.87",3.66
Hojai,66,9,23.98,7,166.59,974,"8,563.75","6,347","10,157.68","37,754","79,448.76","45,091","98,360.76","6,963","2,630.23",2.67
Jorhat,143,56,333.57,54,1375.45,"7,577","64,998.28","15,676","36,469.04","91,170","2,45,023.98","1,14,533","3,48,200.32","7,074","6,076.81",1.75
Kamrup Metro,183,102,490.10,166,1138.29,"5,413","51,508.81","13,699","25,528.50","96,896","2,55,939.52","1,16,276","3,34,605.22","17,656","15,087.56",4.51
Karbi Anglong,63,11,259.28,5,141.59,701,"3,919.27","6,566","21,653.52","27,196","88,586.83","34,479","1,14,560.49","2,479","1,768.75",1.54
Kokrajhar,60,21,1634.85,14,365.32,"1,997","17,565.30","5,283","10,828.96","37,396","1,20,060.70","44,711","1,50,455.13","10,779","7,149.47",4.75
Lakhimpur,91,20,65.00,18,371.40,"2,962","26,489.17","9,151","23,131.73","57,716","1,59,317.13","69,867","2,09,374.43","10,480","5,282.47",2.52
Majuli,16,3,10.80,1,3.13,320,"2,281.89","1,773","5,545.26","5,193","18,043.70","7,290","25,884.78","1,930","1,301.37",5.03
Morigaon,70,120,205.23,6,83.00,"1,012","8,636.72","5,624","17,487.27","26,706","58,398.41","33,468","84,810.63","5,374","3,520.74",4.15
Nagaon,157,147,366.54,53,1001.13,"4,218","42,251.99","12,141","30,650.92","1,04,491","2,62,680.66","1,21,050","3,36,951.24","17,893","9,968.97",2.96
Nalbari,84,18,117.15,15,305.60,"3,279","29,451.71","7,441","20,214.01","46,907","1,14,980.32","57,660","1,65,068.79","11,066","5,935.53",3.60
Sivasagar,107,80,549.85,28,717.18,"2,894","25,304.41","10,785","24,382.27","73,815","1,91,615.72","87,602","2,42,569.43","6,915","5,338.60",2.20
Sonitpur,134,76,558.97,38,908.48,"4,893","58,401.92","13,313","28,159.70","77,335","2,13,963.89","95,655","3,01,992.96","12,957","9,641.57",3.19
South Salmara,16,1,4.62,0,0.00,264,430.10,"1,366","1,207.79","4,501","11,782.03","6,132","13,424.54","2,584","1,715.65",12.78
Tamulpur,21,5,9.96,2,3.39,314,"1,080.49","1,224","2,059.96","8,416","22,632.84","9,961","25,786.64","2,752","1,163.36",4.51
Tinsukia,150,57,822.77,37,668.86,"3,157","37,153.22","13,851","29,856.86","70,977","1,97,981.05","88,079","2,66,482.76","8,380","6,156.22",2.31
Udalguri,56,8,33.09,10,203.59,"2,090","7,494.97","2,952","4,055.95","22,636","77,409.06","27,696","89,196.66","12,647","8,545.66",9.58
West Karbi Anglong,21,1,1.47,2,15.47,86,112.86,"1,069","4,098.27","4,464","15,010.32","5,622","19,238.39",315,132.14,0.69
