district,Total Branch,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bajali,35,"2,054","11,662.96","1,225","9,631.95",162,"1,905.90",4,24.08,0,0,4,24.08
Baksa,33,632,"6,713.63",516,"4,622.99",965,"8,951.12",5,70.24,0,0,5,70.24
Barpeta,95,"2,601","24,397.39","2,841","21,419.39","1,306","10,554.89",7,90.57,0,0,7,90.57
Biswanath,63,"1,444","12,295.79","1,214","8,039.45","1,267","8,881.34",11,134.77,0,0,11,134.77
Bongaigaon,68,"2,005","22,048.62","2,579","26,550.64",586,"5,034.06",33,282.37,0,0,36,331.77
Cachar,172,"3,805","36,087.95","3,267","31,871.57",923,"8,318.41",53,526.52,0,0,54,536.14
Charaideo,36,422,"3,869.06",370,"3,060.42",259,"2,004.62",0,0,0,0,0,0
Chirang,36,673,"6,766.26",751,"4,637.17","1,231","9,711.03",0,0,0,0,0,0
Darrang,70,"1,930","20,983.96","1,908","11,382.19",642,"6,377.91",7,68.52,0,0,7,68.52
Dhemaji,51,"1,828","19,701.46","2,078","10,756.77","1,555","12,150.61",16,127.95,0,0,16,127.95
Dhubri,90,"2,120","18,738.73","1,933","11,324.89",922,"7,115.14",37,250.67,0,0,37,250.67
Dibrugarh,188,"4,834","46,969.41","5,530","66,783.23","3,189","26,862.20",31,496.71,0,0,34,512.57
Dima Hasao,33,362,"3,551.75",209,"2,041.77",112,699.91,1,5.88,0,0,1,5.88
Goalpara,73,"1,241","13,127.64","1,157","4,637.69",475,"3,812.06",3,9.82,0,0,3,9.82
Golaghat,127,"2,559","25,027.16","2,887","23,149.65",923,"9,567.03",4,10.51,0,0,4,10.51
Hailakandi,47,842,"7,046.53",732,"4,229.27",16,132.14,6,38.85,0,0,6,38.85
Hojai,66,936,"8,248.62",952,"7,950.54",137,"1,035.00",5,44.97,0,0,5,44.97
Jorhat,143,"5,465","60,588.52","7,491","62,997.70","1,953","14,653.10",28,485.47,1,14,32,515.03
Kamrup Metro,183,"8,618","48,253.03","5,318","49,857.48","4,485","42,742.66",17,170.35,0,0,17,170.35
Karbi Anglong,63,"2,106","21,985.93",700,"3,876.72","1,251","11,234.39",-,-,0,0,-,-
Kokrajhar,60,"1,354","14,672.17","1,975","17,114.19","1,050","10,757.82",1,4.91,0,0,2,15.04
Lakhimpur,91,"3,519","37,265.11","2,953","26,313.25","1,541","14,377.08",8,84.00,0,0,8,84.00
Majuli,16,557,"6,215.54",321,"2,286.86",421,"3,377.83",-,-,0,0,-,-
Morigaon,70,"1,432","12,612.22","1,002","8,323.30",235,"2,483.87",3,32.19,0,0,4,41.21
Nagaon,157,"4,575","45,929.75","4,171","41,013.98","1,723","14,836.12",47,401.99,0,0,47,401.89
Nalbari,84,"2,642","28,270.18","3,232","28,000.60","1,282","13,248.53",4,59.46,0,0,4,59.46
Sivasagar,107,"2,860","26,393.71","2,876","24,737.68","1,179","9,285.50",16,269.01,0,0,16,269.01
Sonitpur,134,"4,156","41,637.39","4,718","53,999.97","1,799","17,127.88",42,296.35,0,0,44,328.94
South Salmara,16,287,"2,605.09",261,353.67,238,"1,419.06",-,-,0,0,-,-
Tamulpur,21,430,"4,264.87",300,795.48,720,"4,993.69",0,0,0,0,0,0
Tinsukia,150,"2,900","30,388.79","3,031","34,378.91",960,"8,131.57",27,222.83,0,0,27,222.83
Udalguri,56,"1,879","18,407.33","2,086","7,373.93","1,176","8,806.24",3,12.04,0,0,3,12.04
West Karbi Anglong,21,548,"5,444.56",86,112.86,629,"5,531.27",0,0,0,0,0,0
