district,Total Branch,Export No.,Export Amt.,Education PS No.,Education PS Amt.,Housing PS No.,Housing PS Amt.,Social Infra No.,Social Infra Amt.,Renewable No.,Renewable Amt.,Other PS No.,Other PS Amt.,OPS Total O/S No.,OPS Total O/S Amount
Bajali,3 4,0,0,133,338.60,"2,096","12,137.65",2,279.88,361,440.72,"1,859",591.35,"4,451","13,788.20"
Baksa,3 3,0,0,80,223.11,628,"6,701.66",0,0,447,606.72,753,622.56,"1,908","8,154.05"
Barpeta,9 5,0,0,507,"1,577.82","2,767","26,276.80",0,0,3998,4303.41,"12,054","4,700.77","19,326","36,858.80"
Biswanath,6 3,0,0,288,826.59,"1,507","12,972.34",0,0,1571,2081.41,"5,938","2,661.72","9,304","18,542.06"
Bongaigaon,6 8,0,0,199,805.10,"2,091","22,689.96",2,56.56,1069,"1,512.93","7,774","3,338.76","11,135","28,403.31"
Cachar,1 72,0,0,1413,"4,129.55","3,970","37,967.74",2,7.58,305,399.07,"43,831","10,486.54","49,521","52,990.48"
Charaideo,3 6,0,0,112,318.90,490,"4,502.21",0,0,253,354.76,"2,975","1,223.12","3,830","6,398.99"
Chirang,3 6,0,0,94,316.08,697,"7,059.75",4,8.2,1069,"1,307.53","4,408","1,730.81","6,272","10,422.37"
Darrang,7 0,0,0,463,"1,535.68","1,987","21,647.31",2,5.18,766,947.30,"6,477","2,942.40","9,695","27,077.87"
Dhemaji,5 1,0,0,236,745.08,"1,866","20,006.64",1,1.89,1251,"2,090.48","4,961","3,273.19","8,315","26,117.28"
Dhubri,9 0,0,0,241,838.26,"2,275","19,974.06",1,0.39,3952,"5,168.82","12,548","5,162.64","19,017","31,144.17"
Dibrugarh,1 88,0,0,1070,"3,628.39","5,085","50,017.20",1,25.8,487,734.3,"11,960","6,858.12","18,603","61,263.81"
Dima Hasao,3 3,0,0,53,142.70,362,"3,553.48",0,0,122,169.42,-,-,537,"3,865.60"
Goalpara,7 3,0,0,197,801.32,"1,306","13,695.23",1,0.06,2682,"3,781.80","10,222","4,097.47","14,408","22,375.88"
Golaghat,1 27,0,0,462,"1,553.49","2,559","25,213.58",0,0,847,"1,246.20","12,685","3,381.70","16,553","31,394.97"
Hailakandi,4 7,0,0,106,290.53,841,"6,985.71",0,0,121,137.67,"7,323","1,860.04","8,391","9,273.95"
Hojai,6 6,0,0,205,732.35,960,"8,401.73",0,-,2517,2905.94,"6,349","1,807.12","10,031","13,847.14"
Jorhat,1 43,0,0,988,"3,726.00","5,522","61,030.10",4,47.49,1735,"2,680.03","9,751","3,171.27","18,000","70,654.89"
Kamrup,1 83,0,0,1808,"7,071.66","8,747","50,981.35",0,-,551,871.97,"17,992","7,345.97","29,098","66,270.95"
Kamrup Metro,4 75,0,0,4297,"19,521.64","24,732","2,68,112.84",4,9840.2,838,1468.97,"16,141","12,140.38","46,012","3,11,084.03"
Karbi Anglong,6 3,0,0,130,322.62,"2,109","22,004.15",0,0,843,"1,298.91","3,723","1,506.87","6,805","25,132.55"
Kokrajhar,6 0,0,0,187,591.52,"1,381","14,778.88",1,1.8,1447,2127.11,"7,967","3,484.27","10,983","20,983.58"
Lakhimpur,9 1,0,0,486,"1,446.09","3,699","38,553.95",0,0,2947,"4,421.59","6,425","2,756.51","13,557","47,178.14"
Majuli,1 6,0,0,42,110.45,553,"6,213.17",0,0,352,563.11,842,"1,390.28","1,789","8,277.01"
Morigaon,7 0,0,0,195,636.92,"1,442","12,668.97",0,0,942,1259.95,"6,219","1,562.84","8,798","16,128.68"
Nagaon,1 57,0,0,458,"1,785.76","4,652","46,789.82",2,1.78,2626,3402.26,"15,090","4,201.09","22,828","56,180.71"
Nalbari,8 4,0,0,480,"1,570.42","2,778","29,991.90",0,0,705,"1,033.16","9,472","4,062.45","13,435","36,657.93"
Sivasagar,1 07,0,0,466,"1,667.05","2,964","27,024.28",0,-,636,903.11,"7,955","3,262.47","12,021","32,856.91"
Sonitpur,1 34,0,0,694,"2,732.87","4,523","44,891.47",1,1.20,562,803.53,"14,359","11,239.55","20,139","59,668.62"
South Salmara,1 6,0,0,29,89.14,290,"2,620.12",0,-,512,636.75,481,812.98,"1,312","4,158.99"
Sribhumi,9 6,0,0,165,522.92,"1,173","9,087.26",0,0,489,613.52,"17,726","4,224.91","19,553","14,448.61"
Tamulpur,2 1,0,0,118,320.99,441,"4,399.04",1,0.84,141,183.62,"1,107",621.17,"1,808","5,525.66"
Tinsukia,1 50,0,0,726,"2,706.07","2,987","31,329.79",4,31.86,420,603.61,"9,077","3,858.72","13,214","38,530.05"
Udalguri,5 6,0,0,435,"1,314.55","1,862","18,414.05",0,0,336,411.08,"6,918","3,828.02","9,551","23,967.70"
West Karbi Anglong,2 1,0,0,20,62.11,548,"5,444.56",0,0,584,863.58,4,3.11,"1,156","6,373.36"
